@@ pdf30-p25-c1
Appendix B: Irula wordlis
l. body
BET 4 azdu
JEN 4 a'du

@@ pdf48-p43-c1
144. six

KUN 2,3 aru
KOL 3 aré
CHE 2,3 aru
KIL 2,3 aru
MET 3 ari
CHO 3 aré4
MAV 2,3 aru
ANA 3 ar:
BOO 3 aré
THA 3 aré
NEL 2,3 aru
CBT 3 ar
MAD 1,2 aru
KAN 1,2 aru
BAD 1,2 aru
ALU 1,2 aru
BET 1 ara
JEN 1,2 aru
145. seven
KUN 1,2,5 elu
KOL 5 el#
CHE 5 el2
KIL 1,2,5 elu
MET 5 elé
CHO 5 el4
MAV 1,2,5 elu
ANA 5 eli
BOO 5 elé
THA 5 eld
NEL 5 el#
CBT 5 el:
MAD 2 jeku
KAN 2 jelu
BAD 3 jrjju
ALU 2 jelu
BET 1 slu
JEN 2 jelu
146. eight
KUN 1,2 ett:
KOL 1,2 etté
CHE 1,2 etté
KIL 1,2,3 ettu
MET 1,2 ett:
CHO 1,2 ett:
MAV 1,2 ett:
ANA 1,2 ett:
BOO 3 entu
THA 1,2 etté
NEL 1,2,3 ettu
CBT 1 ett:

@@ pdf48-p43-c2
MAD 1,2,3 jettu
KAN 3 jentu
BAD 1,2,3 jettu
ALU 1,2,3 ettu
BET 2 4#ttu

JEN 3 entu

147. nine

KUN 1 ombadé
KOL 1 ombadé
CHE 1 ombadi
KIL 1 ombadu
MET 1 ombad4
CHO 1 ombatti
MAV 1 ombodu
ANA 1 ombalt:
BOO 1 ombatté
THA 1 ombadé
NEL 1 ombadé
CBT 1 ombad:
MAD 1 wonbadu
KAN 1 wombattu
BAD 1 wombattu
ALU 1 wombattu
BET 2 jenbadu
JEN 1 wombattu
148. ten

KUN 1 patté

KOL 1 patté

CHE 1 patti

KIL 1 pattu
MET 1 patti

CHO 1 patté

MAV 1 patti
ANA 1 patti

BOO 1 oft:

THA 1 patti

NEL 1 patts

CBT 1 patté

MAD 1 pattu

KAN 1 hattu
BAD 1 attu

ALU 1 attu

BET 1 pattu
JEN 1 attu

149. eleven

KUN 1 patanonné
KOL 1 padanoné
CHE 1 padanonni
KIL 1 padononnu
MET 1 patanonné

@@ pdf48-p43-c3
‘TO
CHO 1 padanonné
MAV 1 padgononnu
ANA 2 annond:
BOO 2 anondé
THA 1 patanonni
NEL 3 panoné
CBT 1 padanonni
MAD 1 padinonru
KAN 2 hannondu
BAD 2 annoygdu
ALU 2 annondu
BET 2,3 panondu
JEN 2 annondu
150. twelve
KUN 1 pannendé
KOL 1 pannend:
CHE 1 pannend:
KIL 1 panandi
MET 1 panendé
CHO 1 panendé
MAV 1 panendu
ANA 1 panendi
BOO 2,3 anmeradqu
THA 1 pannendé
NEL 1 panendé
CBT 1 panend:
MAD 2 panirandu
KAN 3 hanneradu
BAD 3 annerudu
ALU 3 annircadqu
BET 1 panneddu
JEN 3 annerudu
151. twenty
KUN 1,3 reuvadi
KOL 1 trruvadu
CHE 1,3 reuvadé
KIL 1 rruvadu
MET 1,3 tcuvadi
CHO 2,3 trupatté
MAV 2 truppadu
ANA 3 trpatté
BOO 5 tppatu
THA 1 travadgu
NEL 1 truvadu
CBT 1,3 rruvadé
MAD 1 jirubadu
KAN 5 jipattu
BAD 5 jippaktu
ALU 5 jrppattu
BET 5 jrpattu
JEN 5 jrpattu

@@ pdf49-p44-c1
152. one hundred
KUN 1 nuru

KOL 1 nuru

CHE 1 nuru

KIL 1 nuru

MET 1 nuru

CHO 1 nur#

MAV 1 nuru

ANA 1 nuré

BOO 1 nuru

THA 1 nuru

NEL 1 nuru

CBT 1 nuré4

MAD 1 nu:ru

KAN 1 nu:ru

BAD 1 nu:fu

ALU 1 nu:fru

BET 1 nu:ca

JEN 1 nu:rru
153. who?

KUN 1,3,5,7 ari
KOL 3,4,5,7 aru
CHE 3,5,6,7 jaru
KIL    missing data
MET 1,5,7 ari
CHO 1,2 ars

MAV 4 ofu

ANA 2,6 jarz
BOO 2,6 jara
THA 3,5,6,7 jaru
NEL 2,6 jaru
CBT 2 jari

MAD 6 jar

KAN 3,5,6,7 jaru
BAD 7 dara

ALU 5,6 jara
BET 7 daru

JEN 3,5,6,7 jaru
154. what?

KUN 1 enna

KOL 1 enna

CHE 1 enna

KIL 1 enna

MET 1 Inna

CHO 1 inna

MAV 1 tnna

ANA 3 ennattadé
BOO 1 jana

THA 4 enadu

NEL 1 enna

CBT 1 enna

@@ pdf49-p44-c2
MAD 1 jenna

KAN 1 jenu

BAD 1 jena

ALU 1 jena

BET 5 jindgrdr

JEN 1 jena

155. when?

KUN 1 eppa

KOL 1 eppu

CHE 1 eppo

KIL 1 eppu

MET 1 eppa

CHO 1 eppé

MAV 1 eppu

ANA 1 epp:

BOO 2 javatta

THA 1 eppa

NEL 1 eppo

CBT 1 eppo

MAD 3 jeppsakudu
KAN 4 javaga

BAD 6 jeguva

ALU 5 jega

BET    missing data
JEN    missing data
156. how many?

KUN 1 ettani

KOL 1 ettani

CHE 1 ettani

KIL 1 ettani

MET 1 ettani

CHO 1 ettani

MAV 1 ettali

ANA 1 ettali

BOO 2 esta

THA 1 ettani

NEL 1 ettana

CBT 1 ettana'

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
157. this (in hand)
KUN 1 1:dé

KOL 1 1qé

CHE 1 1d

KIL 1 1du

MET 1 1dé

@@ pdf49-p44-c3
TT
CHO 1 1d
MAV 1 tdi
ANA 1 tdi
BOO 1 1dé
THA 1 tdu
NEL 1 1qgu
CBT 1 1qdé
MAD 1 jrdu
KAN 1 jidu
BAD 1 jidu
ALU 1 jidu
BET 1 jidu
JEN 1 jidu
158. that (distant)
KUN 1 adi
KOL 1 adi
CHE 1 adé
KIL 1 adu
MET 1 adi
CHO 1 adé
MAV 1 adé
ANA 1 adi
BOO 1 adé
THA 1 adu
NEL 1 adu
CBT 1 ad:
MAD 1 adu
KAN 1 adu
BAD 1 aqdu
ALU 1 adu
BET 2 attadu
JEN 1 adu
159. whole (unbroken)
KUN 1 mukke
KOL 1 mukka
CHE 2 mulé
KIL 1 mukke
MET 3 mulutsa
CHO 4 rrumakka
MAV 3 mulusu
ANA 5 unda
BOO 5 unda
THA 1 mukke
NEL 3 mu|usa
CBT 3 mulusi
MAD 6 wudajada
KAN 7 waodeda
BAD 9 wadivile
ALU 8 muruvale
BET 11 wodadstsilla
JEN 10 wodejale

@@ pdf50-p45-c1
160. broken (pot)
KUN 1 qdendé

KOL 1 dendé

CHE 1 dend:

KIL 1 dendé

MET 1 dendé

CHO 1 odandi

MAV 1 udqendu

ANA 1 udandé

BOO 2 oqado' thi
THA 1 dendu

NEL 1 dendé

CBT 7 odandzirutsi
MAD 3 wuda' nde

KAN 4 wadeda

BAD 6 wodudutadadga
ALU 5 murcadadda
BET 4 wodaqu

JEN 4 wodadu

161. few

KUN 1 appera

KOL 2 tSinnadu

CHE 2 tysinnads

KIL 3 1ttani

MET 3 r1ttani

CHO 4 ofsi

MAV 4 osi

ANA 6 fettika

BOO 5 seluppa

THA 3 tttini

NEL 7 konzo

CBT 8 kondzam

MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
162. many

KUN 1 ella

KOL 2 appara

CHE 2 appara

KIL 2 appara

MET 2 appara

CHO 3 etlsa

MAV 4 tumba

ANA 6 pura

BOO 5 sgasti

THA 7 nokkana

NEL 8 nera'ja

CBT 10 combo

MAD 9 pala

@@ pdf50-p45-c2
KAN 10 tumba

BAD 11 manara

ALU 2 appara

BET    missing data
JEN    missing data
163. eat

KUN 1 ftinné

KOL 2 tingo

CHE 1 tinné

KIL 1 tinné

MET 1 tinnid

CHO 1 tinné

MAV 1 tinné

ANA 1 tinnéd

BOO 1 tinnd

THA 1,2 tinnu

NEL 1 tinnié

CBT 3 sapidi

MAD 3 sappiqu

KAN 1,2 tinnu

BAD 1,2 tinnu

ALU 1,2 tirnnu

BET 1 tinda

JEN 1 t1nu

JEN 2 f1rnu

164. was hungry

KUN 1 verkadikkudé
KOL 1 verékadirkrdu
CHE 1 verékadikkudi
KIL 1 veripadikkidu
MET 1 veréikadrkkidu
CHO 1 verpasrkkidé
MAV 1 verépasikudu
ANA 1 verpasrkkidi
BOO 2 vattatsitts
THA 3 palsi

NEL 3 pafi

CBT 4 pasijarrikki
MAD 3 pasi

KAN 5 hasuve

BAD 7 astra

ALU 6 adzi

BET    missing data
JEN    missing data
165. drink

KUN 1 kudi

KOL 1 kudi

CHE 1 kudi

KIL 1 kuqi

MET 1 kudi

CHO 2 unni

@@ pdf50-p45-c3
‘TO
MAV 2 unni
ANA 2 unnit
BOO 1 kudi
THA 1 kudi
NEL 1 kudqi
CBT 1 kudi
MAD 1 kudi
KAN 1 kuqi
BAD 1 kudi
ALU 1 kudi
BET 1 kudtsa
JEN 1 kudi
166. was thirsty
KUN 1 vekke
KOL 2 verkidu
CHE 2 verkkudé
KIL 2 vekkédu
MET 2 vekkudé
CHO 3 gavu
MAV 3 davu
ANA 3 davé
BOO 3 dava
THA 1 vekke
NEL 4 dahama
CBT 4 dahamarrékki
MAD 6 tagam
KAN 7 bajarike
BAD 9 arapprIttu
ALU 8 aratadu
BET    missing data
JEN    missing data
167. sleep
KUN 1 rongi
KOL 1 rongé
CHE 1 rongi
KIL 1 rong:
MET 1 rongét
CHO 1 rong:
MAV 1 rongu
ANA 1 rong:
BOO 2 monugu
THA 1 rong:
NEL 1 tung:
CBT i tung:
MAD 3 tukkam
KAN 4 maleagu
BAD 6 worugu
ALU 5 worangijadu
BET 7 batni
JEN 4 malugu

@@ pdf51-p46-c1
168. Lie down
KUN 1 Kadanduko
KOL 1 kedandiko
CHE 1 kedanduko
KIL 2 kada

MET 1 kidandika
CHO 3 vundiko
MAV 3 vunduko
ANA 3 vundiko
BOO 4 monika
THA 1 Kedandiko
NEL 5 padittako
CBT 6 padi

MAD 6 padqu

KAN 7 malegu
BAD 8 kijeade
ALU    missing data
BET 9 partatniss
JEN 4 manrka
169. sit down
KUN 1 kuhandéko
KOL 3 kukavi
CHE 3,4 kukka
KIL 5 adqijakwa
MET 1,2 kukandiko
CHO 2 ukkandiko
MAV 6 otaru

ANA 2 ukkandiko
BOO 7 kutuka
THA 4 kukku

NEL 4 kukku

CBT 10 ukkaré4
MAD    missing data
KAN    missing data
BAD 8 kuli

ALU 8 kuli

BET 9 ku:rsiso
JEN 8 kuli

170. give

KUN 1 kodé

KOL 1 koqu

CHE 1 kodé

KIL 1 kodqu

MET 1 kodé

CHO 1 kodé

MAV 2 ta

ANA 1 kodé

BOO 1 koqé

THA 1 kodgé

NEL 1 kudqé

CBT 1 kudéa

MAD 1 kodu

@@ pdf51-p46-c2
KAN 1 kadu
BAD    missing data
ALU 3 jida
BET 4 tararL
JEN 1 kodqu
171. die
KUN 1 satté
KOL 1 sattu
CHE 2 tJSavu
KIL 2 savu
MET 2 tfavi
CHO 3 sa
MAV 3 sa
ANA 2 savi
BOO 3 sa’
THA 3 sa
NEL 3 sa
CBT 4 sahi
MAD 2 Savu
KAN 4 Saji
BAD 5 Sattutta
ALU 5 sattutaddu
BET 1 sSetto
JEN 1 sattu
172. kill
KUN 1 konré4
KOL 1 konr4
CHE 1 konréd
KIL 2 konrori
MET 1 konri
CHO 1 konra
MAV 1 konru
ANA 4 koll:
BOO 3 sa‘ su
THA 4 kola
NEL 5 sahadi
CBT 4 koll:
MAD 4 kallu
KAN 6 sajisu
BAD 4 kallu
ALU 7 kondudu
BET 8 kenada
JEN 6 sajisu
173. fly (bird)
KUN 1,2 paru
KOL 1 para
CHE 3
porandipogudi
KIL 1 para
MET 1 para
CHO 1 para

@@ pdf51-p46-c3
tO

MAV 5 pargudu

ANA 1,2 part

BOO 6 artu

THA 1 para

NEL 1 para

CBT 1 paca

MAD 7 ji

KAN 2 hacu

BAD 1 para

ALU 4
Parandanawogu

BET 9 peraso

JEN 8 ariwottu

174. walk

KUN 1 nada

KOL 1 nada

CHE 1 nada

KIL 1 nada

MET 1 nada

CHO 2 ge

MAV 2 ga

ANA 1 nada

BOO 1 nada

THA 1 nada

NEL 1 nada

CBT 1 nada

MAD 1 nada

KAN 1 tadi

BAD 1 nada

ALU 1 nade

BET 1 nada

JEN 1 nada

175. run

KUN 1 odé

KOL 1 ods

CHE 1 odi

KIL 1 oqu

MET 1 od

CHO 1 odi

MAV 1 odqu

ANA 1 od:

BOO 1 odqu

THA 1 odi

NEL 1 odé

CBT 1 od

MAD 1 wodu

KAN 1 wodqu

BAD 1 wodu

ALU 1 woqu

BET    missing data

JEN    missing data

@@ pdf52-p47-c1
176. go

KUN 1 po
KOL 1 po
CHE 1 po
KIL 1 po
MET 1 po
CHO 1 po
MAV 1 po
ANA 1 po
BOO 2 ogu
THA 1 po
NEL 1 po
CBT 1 po
MAD 1 po
KAN 2 hogu
BAD 2 wogu
ALU 2 wogu
BET 3 pige
JEN 2 wagu
177. come
KUN 1 va
KOL 1 va
CHE 1 va
KIL 1 va
MET 1 va
CHO 1 va
MAV 1 va
ANA 1 va
BOO 3 ba
THA 1 va
NEL 1 va
CBT 1 va
MAD 2 va
KAN 3 ba
BAD 3 ba
ALU 3 ba
BET 3 ba
JEN 3 ba
178. speak
KUN 1 mani
KOL 2 najamani
CHE 1 mani
KIL 1 mani
MET 1 mani
CHO 2 najamani
MAV 2 najamani
ANA 2 najamani
BOO 3 matadu
THA 4 pesu
NEL 4 pesu
CBT 4 pes
MAD 5 sol

@@ pdf52-p47-c2
KAN 6 nelu
BAD    missing data
ALU 7 aigu

BET 8 podagaL
JEN 6 jelu
179. hear

KUN 1 kela

KOL 2 kettu
CHE 1 kelé

KIL 2 kettu
MET 1 kelé

CHO 1 Keli

MAV 1 kelu
ANA 1 kelé

BOO 1 kel:

THA 1 kelé

NEL 1 kelu
CBT 1 kelé

MAD 1 kel

KAN 1 kelu
BAD    missing data
ALU 3 kai

BET 4 kéttugar
JEN 1 kelu
180. see

KUN 1,2 peru
KOL 1,2,6 pari
CHE 1,2,6 paré
KIL 1,2,6 pard
MET 1,2,6 paré
CHO 3,6 ord
MAV 3,4 oru
ANA 3 ord

BOO 4 nodqu
THA 1,2,6 paré
NEL 1,2 paru
CBT 1,2,6 paré4
MAD 1 par

KAN 4 noqu

BAD    missing data
ALU 4 nodqu
BET 5 kolal
JEN 4 nodqu
181. I (1s)

KUN 1 nani

KOL 1 nani

CHE 2 na

KIL 1 nané

MET 1 nané

CHO 1,2 nan
MAV 1,2 nan

@@ pdf52-p47-c3
TL
ANA 1,2 nan
BOO 1,2 nan
THA 1,2 nam
NEL 1 nani
CBT 1 nané
MAD 1,2 nan
KAN 1 nanu
BAD 2 na
ALU 2 na
BET 3 navvu
JEN 1 nanu
182. you (2s,

informal )
KUN 2 niné
KOL 2 niné
CHE 3 ni
KIL 2 ninu
MET 3 ni
CHO 3 ni
MAV 2 ninu
ANA 2 ninné
BOO 3 ni
THA 3 ni
NEL 2 niji
CBT 2 niji
MAD 3 ni
KAN 2 ninu
BAD 4 ninga
ALU    missing data
BET 2 nije
JEN 2 ninu
183. he (3s,

masculine)
KUN 1,2 ava
KOL 1 ava
CHE 1 ava
KIL 1 ave
MET 1 ava
CHO 1 ava
MAV 1,2 ava
ANA 1,2 ava
BOO 1 ava
BOO 2 ava
THA 1 ave
NEL 1,2 ava
CBT 1,2 ava
MAD 2 avan
KAN 2 avanu
BAD 1,2 ava
ALU 1,2 ava
BET 4 attadu
JEN 1 ava

@@ pdf53-p48-c1
184. she (3s,
feminine)

KUN 1 ava

KOL 1 ava

CHE 1 aval

KIL 1 ava

MET 1 ava

CHO 1 ava

MAV 1 ava

ANA 1 aval

BOO 1 ava

THA 1 ava

NEL 1 aval

CBT 1 av6d

MAD    missing data

KAN    missing data

BAD    missing data

ALU    missing data

BET    missing data

JEN    missing data

185. we (lp,
inclusive)

KUN 2,4 namu

KOL 2,4 namu

CHE 2,4 nama

KIL 2,4 nama

@@ pdf53-p48-c2
MET 2,4 nama

CHO 2,4 namé

MAV 2,4 namu

ANA 2,4 nami

BOO 4 navi

THA 2,4 nama

NEL 2,4 nama

CBT 2 namma

MAD 1,2 nam

KAN 4 navu

BAD 5 jengejerada

ALU 5 jengaradu

BET    missing data

JEN 1 naa

186. we (lp,
exclusive)

KUN    missing data

KOL    missing data

CHE    missing data

KIL    missing data

MET    missing data

CHO    missing data

MAV    missing data

ANA    missing data

BOO    missing data

THA    missing data

NEL    missing data

@@ pdf53-p48-c3
‘TO
CBT 1 nanga
MAD    missing data
KAN    missing data
BAD    missing data
ALU    missing data
BET    missing data
JEN    missing data
187. they (3p)
KUN 1 avaré
KOL 1 avari
CHE 1 avaré
KIL 1 averu
MET 1 avaré
CHO 1 avaré
MAV 1 avaré
ANA 2 ava
BOO 1 avaru
THA 1 avaré
NEL 3 avunga
CBT 3 avanga
MAD 4 avargal
KAN 1,6 avaru
BAD 6 avaka
ALU 5 avarella
BET 7 agotteja
JEN 1,6 avaru
