Sequence|Unit_ID|Region|Section|Printed_Page|Raw_Form|Raw_Phonetic|Raw_Before|Raw_Gloss|Raw_After|Raw_Context
734|s2.16:q17|prose|2.16 Other NP modifiers|27|tīkā dī||pressions in the sense of “after, another”: dīs-ā dī “another day”, |soon (after a little)|, ʋārs-ā dī “after a year, in a year”, dī trən dīs-ā dī “after a c|k . The numeral dī “two” may also be postposed to time expressions in the sense of “after, another”: dīs-ā dī “another day”, tīkā dī “soon (after a little)”, ʋārs-ā dī “after a year, in a year”
735|s2.16:q18|prose|2.16 Other NP modifiers|27|ʋārs-ā dī||nother”: dīs-ā dī “another day”, tīkā dī “soon (after a little)”, |after a year, in a year|, dī trən dīs-ā dī “after a couple of days”. The inherited quantifie|be postposed to time expressions in the sense of “after, another”: dīs-ā dī “another day”, tīkā dī “soon (after a little)”, ʋārs-ā dī “after a year, in a year”, dī trən dīs-ā dī “after a couple of
736|s2.16:q19|prose|2.16 Other NP modifiers|27|dī trən dīs-ā dī||ā dī “soon (after a little)”, ʋārs-ā dī “after a year, in a year”, |after a couple of days|. The inherited quantifier bū “a lot” has a rather floating syntax a|of “after, another”: dīs-ā dī “another day”, tīkā dī “soon (after a little)”, ʋārs-ā dī “after a year, in a year”, dī trən dīs-ā dī “after a couple of days”. The inherited quantifier bū “a lot”
737|s2.16:q20|prose|2.16 Other NP modifiers|27|bū||dī trən dīs-ā dī “after a couple of days”. The inherited quantifier |a lot| has a rather floating syntax and can appear before or after the noun |“soon (after a little)”, ʋārs-ā dī “after a year, in a year”, dī trən dīs-ā dī “after a couple of days”. The inherited quantifier bū “a lot” has a rather floating syntax and can ap
738|s2.16:q21|prose|2.16 Other NP modifiers|27|bū ammat ~ ammat bū|| floating syntax and can appear before or after the noun it modifies: |many people|. The Arabic morpheme wala “not (any)” was borrowed into Domari as a|e inherited quantifier bū “a lot” has a rather floating syntax and can appear before or after the noun it modifies: bū ammat ~ ammat bū “many people”. The Arabic morpheme wala “not (any)”
739|s2.16:q22|prose|2.16 Other NP modifiers|27|wala||it modifies: bū ammat ~ ammat bū “many people”. The Arabic morpheme |not (any)| was borrowed into Domari as a noun determiner: wala xatrã “never (l|rather floating syntax and can appear before or after the noun it modifies: bū ammat ~ ammat bū “many people”. The Arabic morpheme wala “not (any)” was borrowed into Domari as a noun dete
740|s2.16:q23|prose|2.16 Other NP modifiers|27|wala xatrã||eme wala “not (any)” was borrowed into Domari as a noun determiner: |never (literally no time)|, wala tān-ə-ka “nowhere (literally at no place)” (no place-OBL-AD).|es: bū ammat ~ ammat bū “many people”. The Arabic morpheme wala “not (any)” was borrowed into Domari as a noun determiner: wala xatrã “never (literally no time)”, wala tān-ə-ka “nowhere (literally at
741|s2.16:q24|prose|2.16 Other NP modifiers|27|wala tān-ə-ka||omari as a noun determiner: wala xatrã “never (literally no time)”, |nowhere (literally at no place)| (no place-OBL-AD). The Kurdish determiner har “each, every” appears|Arabic morpheme wala “not (any)” was borrowed into Domari as a noun determiner: wala xatrã “never (literally no time)”, wala tān-ə-ka “nowhere (literally at no place)” (no place-OBL-AD). The Kurdish determin
742|s2.16:q25|prose|2.16 Other NP modifiers|27|har||re (literally at no place)” (no place-OBL-AD). The Kurdish determiner |each, every| appears to be quite common in Aleppo Domari: har kām “everything”, |wala xatrã “never (literally no time)”, wala tān-ə-ka “nowhere (literally at no place)” (no place-OBL-AD). The Kurdish determiner har “each, every” appears to be quite common in Aleppo Do
743|s2.16:q26|prose|2.16 Other NP modifiers|27|har kām||iner har “each, every” appears to be quite common in Aleppo Domari: |everything|, har dīs “every day”. The morpheme mōr , whose etymology and exac|iterally at no place)” (no place-OBL-AD). The Kurdish determiner har “each, every” appears to be quite common in Aleppo Domari: har kām “everything”, har dīs “every day”. The morpheme m
744|s2.16:q27|prose|2.16 Other NP modifiers|27|har dīs|| appears to be quite common in Aleppo Domari: har kām “everything”, |every day|. The morpheme mōr , whose etymology and exact morphological status |no place-OBL-AD). The Kurdish determiner har “each, every” appears to be quite common in Aleppo Domari: har kām “everything”, har dīs “every day”. The morpheme mōr , whose etymology a
745|s2.16:q28|prose|2.16 Other NP modifiers|27|kwā-mōr||was also recorded. Its meaning appears to be close to Arabic wala : |nobody, anybody|, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, māniʿ-|and exact morphological status have still to be uncovered, was also recorded. Its meaning appears to be close to Arabic wala : kwā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, tā-mōr
746|s2.16:q29|prose|2.16 Other NP modifiers|27|kyā-mōr||g appears to be close to Arabic wala : kwā-mōr “nobody, anybody”, |nothing, anything|, tā-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindran|us have still to be uncovered, was also recorded. Its meaning appears to be close to Arabic wala : kwā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, māniʿ-m
747|s2.16:q30|prose|2.16 Other NP modifiers|27|tā-mōr|| wala : kwā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, |nowhere, anywhere|, māniʿ-mōr “no hindrance, any hindrance”, dōm-mōr “no Dōm , any|was also recorded. Its meaning appears to be close to Arabic wala : kwā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindran
748|s2.16:q31|prose|2.16 Other NP modifiers|27|māniʿ-mōr||nybody”, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, |no hindrance, any hindrance|, dōm-mōr “no Dōm , any Dōm ”. The formative -ā- in ky-ā-mōr|ppears to be close to Arabic wala : kwā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindrance”, dōm-mōr “no Dōm , any Dōm ”. The
749|s2.16:q32|prose|2.16 Other NP modifiers|27|dōm-mōr||-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindrance”, |no Dōm , any Dōm|. The formative -ā- in ky-ā-mōr “something, anything” and kw-ā-mō|ā-mōr “nobody, anybody”, kyā-mōr “nothing, anything”, tā-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindrance”, dōm-mōr “no Dōm , any Dōm ”. The formative -ā- in ky-ā-mōr “som
750|s2.16:q33|prose|2.16 Other NP modifiers|27|ky-ā-mōr||hindrance”, dōm-mōr “no Dōm , any Dōm ”. The formative -ā- in |something, anything| and kw-ā-mōr “someone, anyone” is most probably the short form of t|ā-mōr “nowhere, anywhere”, māniʿ-mōr “no hindrance, any hindrance”, dōm-mōr “no Dōm , any Dōm ”. The formative -ā- in ky-ā-mōr “something, anything” and kw-ā-mōr “someone, anyone” is mos
751|s2.16:q34|prose|2.16 Other NP modifiers|27|kw-ā-mōr|| Dōm ”. The formative -ā- in ky-ā-mōr “something, anything” and |someone, anyone| is most probably the short form of the indefinite marker -āk . The |r “no hindrance, any hindrance”, dōm-mōr “no Dōm , any Dōm ”. The formative -ā- in ky-ā-mōr “something, anything” and kw-ā-mōr “someone, anyone” is most probably the short form of the
752|s2.16:q35|prose|2.16 Other NP modifiers|27|kay|| ky - and kw- are best viewed as allomorphs of the interrogatives |what| and kō “who”. Another inherited quantifier is sã “all”. It is alw|short form of the indefinite marker -āk . The initial elements ky - and kw- are best viewed as allomorphs of the interrogatives kay “what” and kō “who”. Another inherited quant
753|s2.16:q36|prose|2.16 Other NP modifiers|27|kō|| are best viewed as allomorphs of the interrogatives kay “what” and |who|. Another inherited quantifier is sã “all”. It is always placed afte|e indefinite marker -āk . The initial elements ky - and kw- are best viewed as allomorphs of the interrogatives kay “what” and kō “who”. Another inherited quantifier is sã “
754|s2.16:q37|prose|2.16 Other NP modifiers|27|sã||ogatives kay “what” and kō “who”. Another inherited quantifier is |all|. It is always placed after the head. This morpheme is autonomous as f|ents ky - and kw- are best viewed as allomorphs of the interrogatives kay “what” and kō “who”. Another inherited quantifier is sã “all”. It is always placed after the head. Th
755|s2.16:q38|prose|2.16 Other NP modifiers|27|mṣiry-ē-m sã́||cannot be considered an affix or a clitic but rather a free morpheme: |all my money|, ammat sã́ “all the people”. An interesting behaviour occurs with n|far as stress assignment is concerned, suggesting it cannot be considered an affix or a clitic but rather a free morpheme: mṣiry-ē-m sã́ “all my money”, ammat sã́ “all the people”. An inter
756|s2.16:q39|prose|2.16 Other NP modifiers|27|ammat sã́|| a clitic but rather a free morpheme: mṣiry-ē-m sã́ “all my money”, |all the people|. An interesting behaviour occurs with nouns denoting time reference m|concerned, suggesting it cannot be considered an affix or a clitic but rather a free morpheme: mṣiry-ē-m sã́ “all my money”, ammat sã́ “all the people”. An interesting behaviour occurs with n
757|s2.16:q40|prose|2.16 Other NP modifiers|27|ārātəs sã||x whose surface form is -s, resembling the Layer I accusative marker: |all night long|, dīsəs sã “all day long”. It is likely that the underlying form is |erence modified by sã . These were recorded with a suffix whose surface form is -s, resembling the Layer I accusative marker: ārātəs sã “all night long”, dīsəs sã “all day long”. It is likel
758|s2.16:q41|prose|2.16 Other NP modifiers|27|dīsəs sã||sembling the Layer I accusative marker: ārātəs sã “all night long”, |all day long|. It is likely that the underlying form is not -s but -n , which w|se were recorded with a suffix whose surface form is -s, resembling the Layer I accusative marker: ārātəs sã “all night long”, dīsəs sã “all day long”. It is likely that the underlying form
759|s2.16:q42|prose|2.16 Other NP modifiers|27|ārāt-ən-tã||essions marked with oblique -n and Layer II superessive -tã as in |in the night|, sb-ən-tã “in the morning”, zɑmɑ̄n-ən-tã “in the past”. It is sti|similate to / s /. This is suggested from temporal expressions marked with oblique -n and Layer II superessive -tã as in ārāt-ən-tã “in the night”, sb-ən-tã “in the morning”, zɑmɑ̄n-ə
760|s2.16:q43|prose|2.16 Other NP modifiers|27|sb-ən-tã||-n and Layer II superessive -tã as in ārāt-ən-tã “in the night”, |in the morning|, zɑmɑ̄n-ən-tã “in the past”. It is still obscure why ārātəs sã an|s suggested from temporal expressions marked with oblique -n and Layer II superessive -tã as in ārāt-ən-tã “in the night”, sb-ən-tã “in the morning”, zɑmɑ̄n-ən-tã “in the past”. It is st
761|s2.16:q44|prose|2.16 Other NP modifiers|27|zɑmɑ̄n-ən-tã||-tã as in ārāt-ən-tã “in the night”, sb-ən-tã “in the morning”, |in the past|. It is still obscure why ārātəs sã and dīsəs sã would be marked w|ions marked with oblique -n and Layer II superessive -tã as in ārāt-ən-tã “in the night”, sb-ən-tã “in the morning”, zɑmɑ̄n-ən-tã “in the past”. It is still obscure why ārātəs sã an
762|s2.16:q45|prose|2.16 Other NP modifiers|27|panǧ ʋārs|| at the left and don’t trigger plural agreement on the modified noun: |five years|, trən ǧib “three languages”. Plural agreement is only triggered whe|also serves to mark temporal expressions. Numerals appear at the left and donʾt trigger plural agreement on the modified noun: panǧ ʋārs “five years”, trən ǧib “three languages”. Plural a
763|s2.16:q46|prose|2.16 Other NP modifiers|27|trən ǧib||gger plural agreement on the modified noun: panǧ ʋārs “five years”, |three languages|. Plural agreement is only triggered when the head noun is augmented b|oral expressions. Numerals appear at the left and donʾt trigger plural agreement on the modified noun: panǧ ʋārs “five years”, trən ǧib “three languages”. Plural agreement is only triggered whe
764|s2.16:q47|prose|2.16 Other NP modifiers|27|dī bēn-ē-m||iggered when the head noun is augmented by bound possessive pronouns: |my two sisters| (two sister-PL-1SG). As mentioned above, indefiniteness may be overtl|trən ǧib “three languages”. Plural agreement is only triggered when the head noun is augmented by bound possessive pronouns: dī bēn-ē-m “my two sisters” (two sister-PL-1SG). As mentioned above
765|s2.16:q48|prose|2.16 Other NP modifiers|27|yēka|| (the suffix -āk ), or syntactically by a short form of the numeral |one|: yē dīs-ā , and also in speech of some speakers by the Arabic deter|ned above, indefiniteness may be overtly marked morphologically (the suffix -āk ), or syntactically by a short form of the numeral yēka “one”: yē dīs-ā , and also in speech of som
766|s2.16:q49|prose|2.16 Other NP modifiers|27|ši dīs-ā||, and also in speech of some speakers by the Arabic determiner ši : |one day, some day|.|ly by a short form of the numeral yēka “one”: yē dīs-ā , and also in speech of some speakers by the Arabic determiner ši : ši dīs-ā “one day, some day”
767|3-the-verb:q1|prose|3. The Verb|28||||become| and kar- , whose primary meaning is “do” (see discussion below).|st of the semantic load and a light verb carrying morphological information. Two light verbs were recorded: h- , whose primary meaning is “become” and kar- , whose primary meaning is “
768|3-the-verb:q2|prose|3. The Verb|28||||do| (see discussion below).|ng morphological information. Two light verbs were recorded: h- , whose primary meaning is “become” and kar- , whose primary meaning is “do” (see discussion below)
769|s3.1:q1|prose|3.1 Simple verbs|28|gā kar-||this process is still active synchronically, as suggested by the verb |to say|, obviously from gāl kar -, whose literal meaning is “make speech” (|t verb kar- to certain lexical roots. There are signs that this process is still active synchronically, as suggested by the verb gā kar - “to say”, obviously from gāl kar -, whose lite
770|s3.1:q2|prose|3.1 Simple verbs|28||||make speech| (< gāl “word, speech”; the form gāl kar - is attested in Macalist|process is still active synchronically, as suggested by the verb gā kar - “to say”, obviously from gāl kar -, whose literal meaning is “make speech” (< gāl “word, speech”; the form gāl
771|s3.1:q3|prose|3.1 Simple verbs|28|gāl||obviously from gāl kar -, whose literal meaning is “make speech” (< |word, speech|; the form gāl kar - is attested in Macalister’s material). In conte|e synchronically, as suggested by the verb gā kar - “to say”, obviously from gāl kar -, whose literal meaning is “make speech” (< gāl “word, speech”; the form gāl kar - is attested in Ma
772|s3.1:q4|prose|3.1 Simple verbs|28||||I said| are gā kardōm and gārdōm , as if the lexical root had become * g|mostly realised gā kar -, in which /l/ dropped. The root can further shrink, leading to the disappearance of /k/. So equally possible for “I said” are gā kardōm and gārdōm , as if th
773|s3.1:q5|prose|3.1 Simple verbs|28|gā-štōme ~ gā ka-štōme|| gā- . This is also suggested by the progressive forms of the verb: |Iʾm saying| (say-PROG.1SG, see below for a discussion of the progressive). The su|gārdōm , as if the lexical root had become * gā- . This is also suggested by the progressive forms of the verb: gā-štōme ~ gā ka-štōme “Iʾm saying” (say-PROG.1SG, see below for a discussi
774|s3.1:q6|prose|3.1 Simple verbs|28|mčə-rd-ã|| shows allomorphic variation when object bound pronouns are suffixed: |(s)he kissed| vs. mč-ərd-ōs-əs “(s)he kissed him/her”. The root mč- “kiss” sele|different is the 3PL marker. Only the 3SG agreement marker shows allomorphic variation when object bound pronouns are suffixed: mčə-rd-ã “(s)he kissed” vs. mč-ərd-ōs-əs “(s)he kissed him/he
775|s3.1:q7|prose|3.1 Simple verbs|28|mč-ərd-ōs-əs||hen object bound pronouns are suffixed: mčə-rd-ã “(s)he kissed” vs. |(s)he kissed him/her|. The root mč- “kiss” selects the extension -rd- to form the perfe|the 3SG agreement marker shows allomorphic variation when object bound pronouns are suffixed: mčə-rd-ã “(s)he kissed” vs. mč-ərd-ōs-əs “(s)he kissed him/her”. The root mč- “kiss” selects the exte
776|s3.1:q8|prose|3.1 Simple verbs|28|mč-||ã “(s)he kissed” vs. mč-ərd-ōs-əs “(s)he kissed him/her”. The root |kiss| selects the extension -rd- to form the perfective (the central vowe|phic variation when object bound pronouns are suffixed: mčə-rd-ã “(s)he kissed” vs. mč-ərd-ōs-əs “(s)he kissed him/her”. The root mč- “kiss” selects the extension -rd- to form th
777|t7:r0c1|paradigm|3.1 Simple verbs|29|pī-|||||"Table 7: Perfective | row label '' | column label 'pī- “drink”'"
778|t7:r0c2|paradigm|3.1 Simple verbs|29|ǧān-|||||"Table 7: Perfective | row label '' | column label 'ǧān- “know”'"
779|t7:r0c3|paradigm|3.1 Simple verbs|29|nang-|||||"Table 7: Perfective | row label '' | column label 'nang- “enter”'"
780|t7:r1c1|paradigm|3.1 Simple verbs|29|pī-r-ōm|||||"Table 7: Perfective | row label '1.SG.' | column label 'pī- “drink”'"
781|t7:r1c2|paradigm|3.1 Simple verbs|29|ǧān-d-ōm|||||"Table 7: Perfective | row label '1.SG.' | column label 'ǧān- “know”'"
782|t7:r1c3|paradigm|3.1 Simple verbs|29|nangə-rd-ōm|||||"Table 7: Perfective | row label '1.SG.' | column label 'nang- “enter”'"
783|t7:r2c1|paradigm|3.1 Simple verbs|29|pī-r-ōr|||||"Table 7: Perfective | row label '2.SG.' | column label 'pī- “drink”'"
784|t7:r2c2|paradigm|3.1 Simple verbs|29|ǧān-d-ōr|||||"Table 7: Perfective | row label '2.SG.' | column label 'ǧān- “know”'"
785|t7:r2c3|paradigm|3.1 Simple verbs|29|nangə-rd-ōr|||||"Table 7: Perfective | row label '2.SG.' | column label 'nang- “enter”'"
786|t7:r3c1|paradigm|3.1 Simple verbs|29|pī-r-ã|||||"Table 7: Perfective | row label '3.SG.' | column label 'pī- “drink”'"
787|t7:r3c2|paradigm|3.1 Simple verbs|29|ǧān-d-ã|||||"Table 7: Perfective | row label '3.SG.' | column label 'ǧān- “know”'"
788|t7:r3c3|paradigm|3.1 Simple verbs|29|nangə-rd-ã|||||"Table 7: Perfective | row label '3.SG.' | column label 'nang- “enter”'"
789|t7:r4c1|paradigm|3.1 Simple verbs|29|pī-r-ēn|||||"Table 7: Perfective | row label '1.PL.' | column label 'pī- “drink”'"
790|t7:r4c2|paradigm|3.1 Simple verbs|29|ǧān-d-ēn|||||"Table 7: Perfective | row label '1.PL.' | column label 'ǧān- “know”'"
791|t7:r4c3|paradigm|3.1 Simple verbs|29|nangə-rd-ēn|||||"Table 7: Perfective | row label '1.PL.' | column label 'nang- “enter”'"
792|t7:r5c1|paradigm|3.1 Simple verbs|29|pī-r-ēs|||||"Table 7: Perfective | row label '2.PL.' | column label 'pī- “drink”'"
793|t7:r5c2|paradigm|3.1 Simple verbs|29|ǧān-d-ēs|||||"Table 7: Perfective | row label '2.PL.' | column label 'ǧān- “know”'"
794|t7:r5c3|paradigm|3.1 Simple verbs|29|nangə-rd-ēs|||||"Table 7: Perfective | row label '2.PL.' | column label 'nang- “enter”'"
795|t7:r6c1|paradigm|3.1 Simple verbs|29|pī-r-ēnd|||||"Table 7: Perfective | row label '3.PL.' | column label 'pī- “drink”'"
796|t7:r6c2|paradigm|3.1 Simple verbs|29|ǧān-d-ēnd|||||"Table 7: Perfective | row label '3.PL.' | column label 'ǧān- “know”'"
797|t7:r6c3|paradigm|3.1 Simple verbs|29|nangə-rd-ēnd|||||"Table 7: Perfective | row label '3.PL.' | column label 'nang- “enter”'"
798|s3.1:q9|prose|3.1 Simple verbs|29||||contextualising marker| (see below). It always appears at the rightmost of the verbal word, t|e base: -əm(e), -ē; -ō-, -ər(e), -ən(e), -əs(e), -ənd(e) . The morpheme -e that appears to the right was labelled by Matras (1999:30) a “contextualising marker” (see below). It always appears at the r
799|s3.1:q10|prose|3.1 Simple verbs|29||||I like you|. The 2SG has an allomorph -ō- before bound object pronouns: tō ḥas|at is, if an object pronoun is inserted, it will be placed between the subject marker and -e : amā ḥass kammər-e (< ḥass kar-m-ər-e ) “I like you”. The 2SG has an allomorph -ō- before
800|s3.1:q11|prose|3.1 Simple verbs|29|tō ḥass kar-ō-m-e||ke you”. The 2SG has an allomorph -ō- before bound object pronouns: |you like me|. An epenthetic consonant [ ʋ ] is inserted between the 2SG subject |: amā ḥass kammər-e (< ḥass kar-m-ər-e ) “I like you”. The 2SG has an allomorph -ō- before bound object pronouns: tō ḥass kar-ō-m-e “you like me”. An epenthetic consonant [ ʋ ] is ins
801|s3.1:q12|prose|3.1 Simple verbs|29|byāʋ-ē||nserted between the 2SG subject marker and stems that end in a vowel: |you fear|, pčāʋ-ē “you ask”.|ar-ō-m-e “you like me”. An epenthetic consonant [ ʋ ] is inserted between the 2SG subject marker and stems that end in a vowel: byāʋ-ē “you fear”, pčāʋ-ē “you ask”
802|s3.1:q13|prose|3.1 Simple verbs|29|pčāʋ-ē||SG subject marker and stems that end in a vowel: byāʋ-ē “you fear”, |you ask|.|e”. An epenthetic consonant [ ʋ ] is inserted between the 2SG subject marker and stems that end in a vowel: byāʋ-ē “you fear”, pčāʋ-ē “you ask”
803|t8:r0c1|paradigm|3.1 Simple verbs|30|pī-|||||"Table 8: Imperfective | row label '' | column label 'pī- “drink”'"
804|t8:r0c2|paradigm|3.1 Simple verbs|30|ǧān|||||"Table 8: Imperfective | row label '' | column label 'ǧān - “know”'"
805|t8:r0c3|paradigm|3.1 Simple verbs|30|nang-|||||"Table 8: Imperfective | row label '' | column label 'nang- “enter”'"
806|t8:r1c1|paradigm|3.1 Simple verbs|30|py-əme|||||"Table 8: Imperfective | row label '1.SG.' | column label 'pī- “drink”'"
807|t8:r1c2|paradigm|3.1 Simple verbs|30|ǧān-əme|||||"Table 8: Imperfective | row label '1.SG.' | column label 'ǧān - “know”'"
808|t8:r1c3|paradigm|3.1 Simple verbs|30|nang-əme|||||"Table 8: Imperfective | row label '1.SG.' | column label 'nang- “enter”'"
809|t8:r2c1|paradigm|3.1 Simple verbs|30|py-ē|||||"Table 8: Imperfective | row label '2.SG.' | column label 'pī- “drink”'"
810|t8:r2c2|paradigm|3.1 Simple verbs|30|ǧān-ē|||||"Table 8: Imperfective | row label '2.SG.' | column label 'ǧān - “know”'"
811|t8:r2c3|paradigm|3.1 Simple verbs|30|nang-ē|||||"Table 8: Imperfective | row label '2.SG.' | column label 'nang- “enter”'"
812|t8:r3c1|paradigm|3.1 Simple verbs|30|py-əre|||||"Table 8: Imperfective | row label '3.SG.' | column label 'pī- “drink”'"
813|t8:r3c2|paradigm|3.1 Simple verbs|30|ǧān-əre ~ ǧārre|||||"Table 8: Imperfective | row label '3.SG.' | column label 'ǧān - “know”'"
814|t8:r3c3|paradigm|3.1 Simple verbs|30|nang-əre|||||"Table 8: Imperfective | row label '3.SG.' | column label 'nang- “enter”'"
815|t8:r4c1|paradigm|3.1 Simple verbs|30|py-əne|||||"Table 8: Imperfective | row label '1.PL.' | column label 'pī- “drink”'"
816|t8:r4c2|paradigm|3.1 Simple verbs|30|ǧān-əne|||||"Table 8: Imperfective | row label '1.PL.' | column label 'ǧān - “know”'"
817|t8:r4c3|paradigm|3.1 Simple verbs|30|nang-əne|||||"Table 8: Imperfective | row label '1.PL.' | column label 'nang- “enter”'"
818|t8:r5c1|paradigm|3.1 Simple verbs|30|py-əse|||||"Table 8: Imperfective | row label '2.PL.' | column label 'pī- “drink”'"
819|t8:r5c2|paradigm|3.1 Simple verbs|30|ǧān-əse|||||"Table 8: Imperfective | row label '2.PL.' | column label 'ǧān - “know”'"
820|t8:r5c3|paradigm|3.1 Simple verbs|30|nang-əse|||||"Table 8: Imperfective | row label '2.PL.' | column label 'nang- “enter”'"
821|t8:r6c1|paradigm|3.1 Simple verbs|30|py-ənde|||||"Table 8: Imperfective | row label '3.PL.' | column label 'pī- “drink”'"
822|t8:r6c2|paradigm|3.1 Simple verbs|30|ǧān-ənde|||||"Table 8: Imperfective | row label '3.PL.' | column label 'ǧān - “know”'"
823|t8:r6c3|paradigm|3.1 Simple verbs|30|nang-ənde|||||"Table 8: Imperfective | row label '3.PL.' | column label 'nang- “enter”'"
824|s3.1:q14|prose|3.1 Simple verbs|30||||contextualising marker| -e. In the 2SG, the ending - ā appears instead of -ē . When bound|The subjunctive typically consists of the root, to which the imperfective subject markers attach, but without the “contextualising marker” -e. In the 2SG, the ending - ā appear
825|s3.1:q15|prose|3.1 Simple verbs|30|kar-ō-s-ā||ct pronouns are suffixed, the morpheme seems to split into two parts: |(that) you make it| (possibly make-SUBJ.2SG-OBJ.3SG-SUBJ).The subjunctive of pī- and ǧ|the ending - ā appears instead of -ē . When bound object pronouns are suffixed, the morpheme seems to split into two parts: kar-ō-s-ā “(that) you make it” (possibly make-SUBJ.2SG-OBJ.3SG-SUBJ).T
826|s3.1:q16|prose|3.1 Simple verbs|30||||contextualising marker| -e. However, this is impossible with verbs which require the suffixat|- , it is of course better to view the imperfective as derived from the subjunctive as it simply involves the suffixation of the so-called “contextualising marker” -e. However, this is impossible with ve
827|s3.1:q17|prose|3.1 Simple verbs|30|āʋ-||e verbs may appear with or without it. These is the case for the root |to come| for which three forms were recorded, two are zero-marked and one mark|be no rule that permits to predict its presence or absence. Some verbs may appear with or without it. These is the case for the root āʋ - “to come” for which three forms were recorded, tw
828|s3.1:q18|prose|3.1 Simple verbs|30|āʋ-ər ~ pāʋ-ər ~ āʋ-č-ər|| forms were recorded, two are zero-marked and one marked with -č- : |(that) he comes|.|r the root āʋ - “to come” for which three forms were recorded, two are zero-marked and one marked with -č- : āʋ-ər ~ pāʋ-ər ~ āʋ-č-ər “(that) he comes”
829|t9:r0c1|paradigm|3.1 Simple verbs|30|pī-|||||"Table 9: Subjunctive | row label '' | column label 'pī- “drink”'"
830|t9:r0c2|paradigm|3.1 Simple verbs|30|ǧān|||||"Table 9: Subjunctive | row label '' | column label 'ǧān - “know”'"
831|t9:r0c3|paradigm|3.1 Simple verbs|30|nang-|||||"Table 9: Subjunctive | row label '' | column label 'nang- “enter”'"
832|t9:r1c1|paradigm|3.1 Simple verbs|30|py-əm|||||"Table 9: Subjunctive | row label '1.SG.' | column label 'pī- “drink”'"
833|t9:r1c2|paradigm|3.1 Simple verbs|30|ǧān-əm|||||"Table 9: Subjunctive | row label '1.SG.' | column label 'ǧān - “know”'"
834|t9:r1c3|paradigm|3.1 Simple verbs|30|nangə-č-əm|||||"Table 9: Subjunctive | row label '1.SG.' | column label 'nang- “enter”'"
835|t9:r2c1|paradigm|3.1 Simple verbs|30|py-ā|||||"Table 9: Subjunctive | row label '2.SG.' | column label 'pī- “drink”'"
836|t9:r2c2|paradigm|3.1 Simple verbs|30|ǧān-ā|||||"Table 9: Subjunctive | row label '2.SG.' | column label 'ǧān - “know”'"
837|t9:r2c3|paradigm|3.1 Simple verbs|30|nangə-č-ā|||||"Table 9: Subjunctive | row label '2.SG.' | column label 'nang- “enter”'"
838|t9:r3c1|paradigm|3.1 Simple verbs|30|py-ər|||||"Table 9: Subjunctive | row label '3.SG.' | column label 'pī- “drink”'"
839|t9:r3c2|paradigm|3.1 Simple verbs|30|ǧān-ər|||||"Table 9: Subjunctive | row label '3.SG.' | column label 'ǧān - “know”'"
840|t9:r3c3|paradigm|3.1 Simple verbs|30|nangə-č-ər|||||"Table 9: Subjunctive | row label '3.SG.' | column label 'nang- “enter”'"
841|t9:r4c1|paradigm|3.1 Simple verbs|30|py-ən|||||"Table 9: Subjunctive | row label '1.PL.' | column label 'pī- “drink”'"
842|t9:r4c2|paradigm|3.1 Simple verbs|30|ǧān-ən|||||"Table 9: Subjunctive | row label '1.PL.' | column label 'ǧān - “know”'"
843|t9:r4c3|paradigm|3.1 Simple verbs|30|nange-č-ən|||||"Table 9: Subjunctive | row label '1.PL.' | column label 'nang- “enter”'"
844|t9:r5c1|paradigm|3.1 Simple verbs|30|py-əs|||||"Table 9: Subjunctive | row label '2.PL.' | column label 'pī- “drink”'"
845|t9:r5c2|paradigm|3.1 Simple verbs|30|ǧān-əs|||||"Table 9: Subjunctive | row label '2.PL.' | column label 'ǧān - “know”'"
846|t9:r5c3|paradigm|3.1 Simple verbs|30|nange-č-əs|||||"Table 9: Subjunctive | row label '2.PL.' | column label 'nang- “enter”'"
847|t9:r6c1|paradigm|3.1 Simple verbs|30|py-ənd|||||"Table 9: Subjunctive | row label '3.PL.' | column label 'pī- “drink”'"
848|t9:r6c2|paradigm|3.1 Simple verbs|30|ǧān-ənd|||||"Table 9: Subjunctive | row label '3.PL.' | column label 'ǧān - “know”'"
849|t9:r6c3|paradigm|3.1 Simple verbs|30|nangə-č-ənd|||||"Table 9: Subjunctive | row label '3.PL.' | column label 'nang- “enter”'"
