Gloss,Site,Form,Tulu,Malayalam,Kodava,Etymon,Note
Give,MTE,tːa,korpa,koɖukːɨ,koɖɨ,d3098,
It is burning,MTP,kɑt̪iɳɖu,pot̪uɳᶤ,kat̪ːunːu,ʈʃuɖɨ,d1207,
It is burning,MTV,kat̪uga,pot̪uɳᶤ,kat̪ːunːu,ʈʃuɖɨ,d1207,
It is burning,MTE,kat̪iɲu,pot̪uɳᶤ,kat̪ːunːu,ʈʃuɖɨ,d1207,
He died,MTP,tʃejt̪igu,t̪iroɳa,maɾitʃu,ʈʃᶏʋo,,Likely an idiom/semantic innovation based on 'be done'; exact set uncertain.
He died,MTV,tʃejt̪ːu,t̪iroɳa,maɾitʃu,ʈʃᶏʋo,,Likely an idiom/semantic innovation based on 'be done'; exact set uncertain.
He died,MTE,tʃejt̪iːu,t̪iroɳa,maɾitʃu,ʈʃᶏʋo,,Likely an idiom/semantic innovation based on 'be done'; exact set uncertain.
He killed,MTP,kereŋɖu,keɾpaɳa,konnu,kollɨ,d1981,
He killed,MTV,kerukːo,keɾpaɳa,konnu,kollɨ,d1981,
He killed,MTE,keɾekːed,keɾpaɳa,konnu,kollɨ,d1981,
It is flying,MTP,parəguᶤ,rapəɳa,parakːunːu,paːɾɨ,d4020,
It is flying,MTV,paregeɳu,rapəɳa,parakːunːu,paːɾɨ,d4020,
It is flying,MTE,paregaɲu,rapəɳa,parakːunːu,paːɾɨ,d4020,
Walk,MTP,nədʌt̪iɳɖe,nadapːᶤ,naɖakːu,naɖə,d3582,
Walk,MTV,nɑdakːunnu,nadapːᶤ,naɖakːu,naɖə,d3582,
Walk,MTE,nɑdat̪igɜt̪e,nadapːᶤ,naɖakːu,naɖə,d3582,
Run,MTP,paːjiŋdu,belt̪uɳᶤ,oɖuka,oːɖɨ,d4020,
Run,MTV,pajugeɳu,belt̪uɳᶤ,oɖuka,oːɖɨ,d4020,
Run,MTE,pɐjit̪ɜ,belt̪uɳᶤ,oɖuka,oːɖɨ,d4020,
Go,MTP,poːɳd,po,po,poː,d4572,
Go,MTV,po,po,po,poː,d4572,
Go,MTE,poː,po,po,poː,d4572,
Come,MTP,pɑlla,vaɭːa,va,baː,d5270,
Come,MTV,ba,vaɭːa,va,baː,d5270,
Come,MTE,pɑ,vaɭːa,va,baː,d5270,
Speak,MTP,paɳə,paɳᶤ,parajː,paɾi,d3887,
Speak,MTV,paɳɳu,paɳᶤ,parajː,paɾi,d3887,
Speak,MTE,paɲːɜ,paɳᶤ,parajː,paɾi,d3887,
He hears,MTP,keɳᵊ,keɳt̪ːe,keʈːu,kəːɭɨ,d2017,
He hears,MTV,keɳᵊ,keɳt̪ːe,keʈːu,kəːɭɨ,d2017,
He hears,MTE,kɜɲege,keɳt̪ːe,keʈːu,kəːɭɨ,d2017,
He saw,MTP,tʃuɳɖ,tʃugt̪ːe,kaŋɖu,noːʈʈɨ,d2735,
He saw,MTV,tʃugᵊ,tʃugt̪ːe,kaŋɖu,noːʈʈɨ,d2735,
He saw,MTE,tʃːeɳd,tʃugt̪ːe,kaŋɖu,noːʈʈɨ,d2735,
I (1st sg),MTP,enu,eːɳᶤ,ɲan,naːnɨ,,enu does not match the expected local DEDR first-person forms securely.
I (1st sg),MTV,enu,eːɳᶤ,ɲan,naːnɨ,,enu does not match the expected local DEDR first-person forms securely.
I (1st sg),MTE,enu,eːɳᶤ,ɲan,naːnɨ,,enu does not match the expected local DEDR first-person forms securely.
"You (2nd sg, inf.)",MTP,idʒe,iː,ni,niː,,No secure DEDR match for ijje/ī in this function.
"You (2nd sg, inf.)",MTV,ijːᶤ,iː,ni,niː,,No secure DEDR match for ijje/ī in this function.
"You (2nd sg, inf.)",MTE,iy,iː,ni,niː,,No secure DEDR match for ijje/ī in this function.
"You (2nd sg, form.)",MTP,nigʌɭ,irᵊ,t̪aŋgaɭ,niŋga,,Inflected/honorific forms; no secure single etymon assigned.
"You (2nd sg, form.)",MTV,nikːarᶤ,irᵊ,t̪aŋgaɭ,niŋga,,Inflected/honorific forms; no secure single etymon assigned.
"You (2nd sg, form.)",MTE,nɨkːl,irᵊ,t̪aŋgaɭ,niŋga,,Inflected/honorific forms; no secure single etymon assigned.
"He (3rd sg, m.)",MTP,aːji,aje,avan,aʋ̃o,d1,
"He (3rd sg, m.)",MTV,aːji,aje,avan,aʋ̃o,d1,
"He (3rd sg, m.)",MTE,ayi,aje,avan,aʋ̃o,d1,
"She (3rd sg, f.)",MTP,ajini,aːɭᶤ,avaɭ,aʋa,d1,
"She (3rd sg, f.)",MTV,ad̪u,aːɭᶤ,avaɭ,aʋa,d1,
"She (3rd sg, f.)",MTE,aɖeu,aːɭᶤ,avaɭ,aʋa,d1,
We,MTP,ekːalam,eŋkːaɭa,namːaɭ,naŋga,d5154,
We,MTV,namːa,eŋkːaɭa,namːaɭ,naŋga,d3647,
We,MTE,ekː,eŋkːaɭa,namːaɭ,naŋga,d5154,
We (two),MTP,nɑnnːa ɾʌɖːʌɭ,ekkaɭʌ,ɲaŋaɭ,naŋga,,Periphrastic/number-marked forms; no single etymon assigned.
We (two),MTV,namːa,ekkaɭʌ,ɲaŋaɭ,naŋga,,Periphrastic/number-marked forms; no single etymon assigned.
We (two),MTE,nemmə,ekkaɭʌ,ɲaŋaɭ,naŋga,,Periphrastic/number-marked forms; no single etymon assigned.
You (2nd pl),MTP,nikːʌr,eŋkaɭʌl,niŋaɭ,niŋga,,Inflected plural forms; no secure single etymon assigned.
You (2nd pl),MTV,nikːerelːam,eŋkaɭʌl,niŋaɭ,niŋga,,Inflected plural forms; no secure single etymon assigned.
You (2nd pl),MTE,nikːərar,eŋkaɭʌl,niŋaɭ,niŋga,,Inflected plural forms; no secure single etymon assigned.
They (3rd pl),MTP,aʋu,agəɭᶤ,avar,ajiŋga,d1,
They (3rd pl),MTV,aoʋ,agəɭᶤ,avar,ajiŋga,d1,
They (3rd pl),MTE,ɑou,agəɭᶤ,avar,ajiŋga,d1,
Dust,MTP,poɖi,podi,podi,d̪uːɭɨ,d4481,
Dust,MTV,podi,podi,podi,d̪uːɭɨ,d4481,
Dust,MTE,podɨ,podi,podi,d̪uːɭɨ,d4481,
