so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
sa,,sa,"side, edge",,sa,,"pinnow1959versuch[p. 219, item 214, set K185]",,Pinnow comparative set K185.,pinnow1959versuch:C:c2.p219.i214.sK185,,,,
Birhor,,sadɔm,horse,,sadɔm,,"pinnow1959versuch[p. 78, item 1232, set V70]",,Pinnow comparative set V70.,pinnow1959versuch:C:c7.p78.i1232.sV070,,,,
ho,,sadɔm,horse,,sadɔm,,"pinnow1959versuch[p. 78, item 1232, set V70]",,Pinnow comparative set V70.,pinnow1959versuch:C:c6.p78.i1232.sV070,,,,
Mahali,,sadɔm,horse,,sadɔm,,"pinnow1959versuch[p. 78, item 1232, set V70]",,Pinnow comparative set V70.,pinnow1959versuch:C:c16.p78.i1232.sV070,,,,
mu,,sadɔm,horse,,sadɔm,,"pinnow1959versuch[p. 78, item 1232, set V70]",,Pinnow comparative set V70.,pinnow1959versuch:C:c4.p78.i1232.sV070,,,,
sa,,sadɔm,horse,,sadɔm,,"pinnow1959versuch[p. 78, item 1232, set V70]",,Pinnow comparative set V70.,pinnow1959versuch:C:c2.p78.i1232.sV070,,,,
mu,,sahil,a wild buffalo,,sahil,,"pinnow1959versuch[p. 241, item 288, set K240]",,Pinnow comparative set K240.,pinnow1959versuch:C:c4.p241.i288.sK240,,,,
mu,,saili,a wild buffalo,,saili,,"pinnow1959versuch[p. 241, item 288, set K240]",,Pinnow comparative set K240.,pinnow1959versuch:C:c4.p241.i288.sK240:v2,pinnow1959versuch:C:c4.p241.i288.sK240,,,
Birhor,,sail,a wild buffalo,,sail,,"pinnow1959versuch[p. 241, item 288, set K240]",,Pinnow comparative set K240.,pinnow1959versuch:C:c7.p241.i288.sK240,,,,
mu,m82,salaŋɡi,"tall, high, to heighten",,salaŋɡi,,"pinnow1959versuch[p. 161, item 1567-2, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p161.i1567-2.sV340,,,,
sa,m38,samaŋ,"front, place in front of",,samaŋ,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p131.i1468.sV269,,,,
Birhor,m38,samaŋ,"near, before",,samaŋ,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p131.i1468.sV269,,,,
mu,m38,samaŋ,"near, before",,samaŋ,,"pinnow1959versuch[p. 131, item 1468-2, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p131.i1468-2.sV269,,,,
mu,m38,samaŋ,to front,,samaŋ,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p131.i1468.sV269,,,,
ko,m38,samman,front,,samman,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p131.i1468.sV269,,,,
ho,m87,san-o,to go,,san-o,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p151.i1514.sV300,,,,
mu,m87,san-o,to go,,san-o,,"pinnow1959versuch[p. 151, item 1514-2, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p151.i1514-2.sV300,,,,
ho,m38,sanamaŋre,in front,,sanamaŋre,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p131.i1468.sV269,,,,
mu,m38,sanəmaŋ,"front, face to face",,sanəmaŋ,,"pinnow1959versuch[p. 131, item 1468-1, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p131.i1468-1.sV269,,,,
mu,m38,sanmaŋ,"front, face to face",,sanmaŋ,,"pinnow1959versuch[p. 131, item 1468-1, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p131.i1468-1.sV269:v2,pinnow1959versuch:C:c4.p131.i1468-1.sV269,,,
ho,,sar,arrow,,sar,,"pinnow1959versuch[p. 70, item 1168-1, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c6.p70.i1168-1.sV006,,,,
ho,,sar,arrow,,sar,,"pinnow1959versuch[p. 70, item 1168-2, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c6.p70.i1168-2.sV006,,,,
Birhor,,sasaŋ,"the turmeric plant ({Sci.name} Curcuma longa, L.), turmeric",,sasaŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c7.p131.i1470.sV271,,,,
ho,,sasaŋ,"the turmeric plant ({Sci.name} Curcuma longa, L.), turmeric",,sasaŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c6.p131.i1470.sV271,,,,
ko,,sasaŋ,"the turmeric plant ({Sci.name} Curcuma longa, L.), turmeric",,sasaŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c5.p131.i1470.sV271,,,,
mu,,sasaŋ,"the turmeric plant ({Sci.name} Curcuma longa, L.), turmeric",,sasaŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c4.p131.i1470.sV271,,,,
sa,,sasaŋ,"the turmeric plant ({Sci.name} Curcuma longa, L.), turmeric",,sasaŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c2.p131.i1470.sV271,,,,
mu,,sat,"true, truth",,sat,,"pinnow1959versuch[p. 222, item 228, set K193f]",,Pinnow comparative set K193f.,pinnow1959versuch:C:c4.p222.i228.sK193f,,,,
ho,,saŋɡar,to hunt,,saŋɡar,,"pinnow1959versuch[p. 345, item 870, set K489b]",,Pinnow comparative set K489b.,pinnow1959versuch:C:c6.p345.i870.sK489b,,,,
mu,,saŋɡar,to hunt,,saŋɡar,,"pinnow1959versuch[p. 345, item 870, set K489b]",,Pinnow comparative set K489b.,pinnow1959versuch:C:c4.p345.i870.sK489b,,,,
sa,,saŋɡar,"to walk about, search for",,saŋɡar,,"pinnow1959versuch[p. 345, item 870, set K489b]",,Pinnow comparative set K489b.,pinnow1959versuch:C:c2.p345.i870.sK489b,,,,
kw,,saŋɡijaŋ,"distance, distant, far away",,saŋɡijaŋ,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c12.p74.i1202.sV040,,,,
Birhor,,saŋɡin,"distance, distant, far away",,saŋɡin,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c7.p74.i1202.sV040,,,,
ko,,saŋɡin,"distance, distant, far away",,saŋɡin,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c5.p74.i1202.sV040,,,,
Mahali,,saŋɡin,"distance, distant, far away",,saŋɡin,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c16.p74.i1202.sV040,,,,
mu,,saŋɡin,"distance, distant, far away",,saŋɡin,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c4.p74.i1202.sV040,,,,
mu,,saŋɡin,"distance, distant, far away",,saŋɡin,,"pinnow1959versuch[p. 74, item 1202-2, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c4.p74.i1202-2.sV040,,,,
mu,,saŋɡinija,"distance, distant, far away",,saŋɡinija,,"pinnow1959versuch[p. 74, item 1202-2, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c4.p74.i1202-2.sV040:v2,pinnow1959versuch:C:c4.p74.i1202-2.sV040,,,
ho,,saŋɡiŋ,"distance, distant, far away",,saŋɡiŋ,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c6.p74.i1202.sV040,,,,
ju,,saŋɡoi,hen,,saŋɡoi,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c11.p155.i1530.sV314,,,,
ju,,sʌŋke,hen,,sʌŋke,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c11.p155.i1530.sV314:v2,pinnow1959versuch:C:c11.p155.i1530.sV314,,,
ju,,seŋkoi,hen,,seŋkoi,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c11.p155.i1530.sV314:v3,pinnow1959versuch:C:c11.p155.i1530.sV314,,,
ko,,saɡe,to take away,,saɡe,,"pinnow1959versuch[p. 394, item 1126, set K533]",,Pinnow comparative set K533.,pinnow1959versuch:C:c5.p394.i1126.sK533,,,,
mu,,saʔ,"side, edge",,saʔ,,"pinnow1959versuch[p. 219, item 214, set K185]",,Pinnow comparative set K185.,pinnow1959versuch:C:c4.p219.i214.sK185,,,,
sa,m9,se,louse,,se,,"pinnow1959versuch[p. 162, item 1568, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p162.i1568.sV341,,,,
sa,m61,sebel,"taste, flavour, tasty",,sebel,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p128.i1453.sV257,,,,
sa,,sedae,"ancient, olden times, long ago",,sedae,,"pinnow1959versuch[p. 119, item 1409, set V224]",,Pinnow comparative set V224.,pinnow1959versuch:C:c2.p119.i1409.sV224,,,,
re,m69,seli,flesh,,seli,,"pinnow1959versuch[p. 119, item 1413, set V228]",,Pinnow comparative set V228. Linked to Rau m69 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p119.i1413.sV228,,,,
re,,selɑːne,woman,,selɑːne,,"pinnow1959versuch[p. 158, item 1550, set V330]",,Pinnow comparative set V330.,pinnow1959versuch:C:c10.p158.i1550.sV330,,,,
Birhor,m87,sen,to go,,sen,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p151.i1514.sV300,,,,
ju,,sendera,cloth,,sendera,,"pinnow1959versuch[p. 157, item 1541, set V323]",,Pinnow comparative set V323.,pinnow1959versuch:C:c11.p157.i1541.sV323,,,,
mu,m87,senɔʔ,to go,,senɔʔ,,"pinnow1959versuch[p. 151, item 1514-3, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p151.i1514-3.sV300,,,,
sa,,serma,"sky, firmament, heaven, year",,serma,,"pinnow1959versuch[p. 77, item 1225, set V63]",,Pinnow comparative set V63.,pinnow1959versuch:C:c2.p77.i1225.sV063,,,,
Birhor,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c7.p242.i297.sK243,,,,
ho,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c6.p242.i297.sK243,,,,
Mahali,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c16.p242.i297.sK243,,,,
mu,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c4.p242.i297.sK243,,,,
sa,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c2.p242.i297.sK243,,,,
ko,,seta,dog,,seta,,"pinnow1959versuch[p. 242, item 297-2, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c5.p242.i297-2.sK243,,,,
ko,,cita,dog,,cita,,"pinnow1959versuch[p. 242, item 297-2, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c5.p242.i297-2.sK243:v2,pinnow1959versuch:C:c5.p242.i297-2.sK243,,,
ho,,seta,morning,,seta,,"pinnow1959versuch[p. 103, item 1346, set V171]",,Pinnow comparative set V171.,pinnow1959versuch:C:c6.p103.i1346.sV171,,,,
ho,,setaʔ,morning,,setaʔ,,"pinnow1959versuch[p. 103, item 1346, set V171]",,Pinnow comparative set V171.,pinnow1959versuch:C:c6.p103.i1346.sV171:v2,pinnow1959versuch:C:c6.p103.i1346.sV171,,,
Birhor,,setaʔ,morning,,setaʔ,,"pinnow1959versuch[p. 103, item 1346, set V171]",,Pinnow comparative set V171.,pinnow1959versuch:C:c7.p103.i1346.sV171,,,,
mu,,setaʔ,morning,,setaʔ,,"pinnow1959versuch[p. 103, item 1346, set V171]",,Pinnow comparative set V171.,pinnow1959versuch:C:c4.p103.i1346.sV171,,,,
sa,,setaʔ,morning,,setaʔ,,"pinnow1959versuch[p. 103, item 1346, set V171]",,Pinnow comparative set V171.,pinnow1959versuch:C:c2.p103.i1346.sV171,,,,
ju,,seŋna,"first, go first, advance, before",,seŋna,,"pinnow1959versuch[p. 102, item 1332, set V159]",,Pinnow comparative set V159.,pinnow1959versuch:C:c11.p102.i1332.sV159,,,,
Birhor,m21,seŋɡel,fire,,seŋɡel,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p126.i1439.sV252,,,,
ho,m21,seŋɡel,fire,,seŋɡel,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p126.i1439.sV252,,,,
kw,m21,seŋɡel,fire,,seŋɡel,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c12.p126.i1439.sV252,,,,
mu,m21,seŋɡel,fire,,seŋɡel,,"pinnow1959versuch[p. 126, item 1439-2, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1439-2.sV252,,,,
re,m74,seː-mi,nose,,seː-mi,,"pinnow1959versuch[p. 175, item 1626, set V387]",,Pinnow comparative set V387. Linked to Rau m74 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p175.i1626.sV387,,,,
re,m74,mi,nose,,mi,,"pinnow1959versuch[p. 175, item 1626, set V387]",,Pinnow comparative set V387. Linked to Rau m74 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p175.i1626.sV387:v2,pinnow1959versuch:C:c10.p175.i1626.sV387,,,
ho,m36,si,skin,,si,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p98.i1321.sV149,,,,
sa,m36,si,skin,,si,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p98.i1321.sV149,,,,
ho,m42,si,to plow,,si,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p87.i1265.sV099,,,,
sa,m42,si,to plow,,si,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p87.i1265.sV099,,,,
Birhor,m36,si,skin,,si,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p98.i1321.sV149,,,,
Birhor,m36,siu,skin,,siu,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p98.i1321.sV149:v2,pinnow1959versuch:C:c7.p98.i1321.sV149,,,
mu,m36,si,skin,,si,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p98.i1321.sV149,,,,
mu,m36,siu,skin,,siu,,"pinnow1959versuch[p. 98, item 1321, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p98.i1321.sV149:v2,pinnow1959versuch:C:c4.p98.i1321.sV149,,,
Birhor,m42,si,to plow,,si,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p87.i1265.sV099,,,,
Birhor,m42,siu,to plow,,siu,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p87.i1265.sV099:v2,pinnow1959versuch:C:c7.p87.i1265.sV099,,,
mu,m42,si,to plow,,si,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p87.i1265.sV099,,,,
mu,m42,siu,to plow,,siu,,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p87.i1265.sV099:v2,pinnow1959versuch:C:c4.p87.i1265.sV099,,,
Birhor,m61,sibil,"sweet, tasty",,sibil,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p128.i1453.sV257,,,,
mu,m61,sibil,sweet,,sibil,,"pinnow1959versuch[p. 128, item 1453-2, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p128.i1453-2.sV257,,,,
ho,m61,sibil,"taste, flavour, tasty",,sibil,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p128.i1453.sV257,,,,
mu,m61,sibil,"tasteful, delicious",,sibil,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p128.i1453.sV257,,,,
ho,,sida,"previous, before, first",,sida,,"pinnow1959versuch[p. 119, item 1409, set V224]",,Pinnow comparative set V224.,pinnow1959versuch:C:c6.p119.i1409.sV224,,,,
mu,,sida,"previous, before, first",,sida,,"pinnow1959versuch[p. 119, item 1409, set V224]",,Pinnow comparative set V224.,pinnow1959versuch:C:c4.p119.i1409.sV224,,,,
ho,,sikiŋ,mosquito,,sikiŋ,,"pinnow1959versuch[p. 86, item 1252, set V90]",,Pinnow comparative set V90.,pinnow1959versuch:C:c6.p86.i1252.sV090,,,,
ho,,sikĩ,mosquito,,sikĩ,,"pinnow1959versuch[p. 86, item 1252, set V90]",,Pinnow comparative set V90.,pinnow1959versuch:C:c6.p86.i1252.sV090:v2,pinnow1959versuch:C:c6.p86.i1252.sV090,,,
ho,m9,siku,louse,,siku,,"pinnow1959versuch[p. 162, item 1568, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p162.i1568.sV341,,,,
ko,m9,siku,louse,,siku,,"pinnow1959versuch[p. 162, item 1568, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p162.i1568.sV341,,,,
mu,m9,siku,louse,,siku,,"pinnow1959versuch[p. 162, item 1568, set V341]",,Pinnow comparative set V341. Linked to Rau m9 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p162.i1568.sV341,,,,
mu,,sikɽ̃ĩ,mosquito,,sikɽ̃ĩ,,"pinnow1959versuch[p. 86, item 1252, set V90]",,Pinnow comparative set V90.,pinnow1959versuch:C:c4.p86.i1252.sV090,,,,
sa,,sikɽ̃ĩˀɟ,mosquito,,sikɽ̃ĩˀɟ,,"pinnow1959versuch[p. 86, item 1252, set V90]",,Pinnow comparative set V90.,pinnow1959versuch:C:c2.p86.i1252.sV090,,,,
mu,m84,sileˀb,the Indian Gazelle or Ravine Deer ({Sci.name} Gazella Bennetti),,sileˀb,,"pinnow1959versuch[p. 120, item 1418-2, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p120.i1418-2.sV233,,,,
ju,m84,silip,a kind of deer,,silip,,"pinnow1959versuch[p. 120, item 1418, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p120.i1418.sV233,,,,
kw,m84,silip,a kind of deer,,silip,,"pinnow1959versuch[p. 120, item 1418, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c12.p120.i1418.sV233,,,,
mu,m84,siliˀb,the Indian Gazelle or Ravine Deer ({Sci.name} Gazella Bennetti),,siliˀb,,"pinnow1959versuch[p. 120, item 1418, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p120.i1418.sV233,,,,
Birhor,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c7.p155.i1530.sV314,,,,
ho,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c6.p155.i1530.sV314,,,,
kw,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c12.p155.i1530.sV314,,,,
Mahali,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c16.p155.i1530.sV314,,,,
mu,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c4.p155.i1530.sV314,,,,
sa,,sim,fowl,,sim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c2.p155.i1530.sV314,,,,
kh,,simˈkɔm,star,,simˈkɔm,,"pinnow1959versuch[p. 381, item 1075, set K516]",,Pinnow comparative set K516.,pinnow1959versuch:C:c1.p381.i1075.sK516,,,,
kh,,siŋˈkɔm,star,,siŋˈkɔm,,"pinnow1959versuch[p. 381, item 1075, set K516]",,Pinnow comparative set K516.,pinnow1959versuch:C:c1.p381.i1075.sK516:v2,pinnow1959versuch:C:c1.p381.i1075.sK516,,,
kh,,siɲˈkɔm,star,,siɲˈkɔm,,"pinnow1959versuch[p. 381, item 1075, set K516]",,Pinnow comparative set K516.,pinnow1959versuch:C:c1.p381.i1075.sK516:v3,pinnow1959versuch:C:c1.p381.i1075.sK516,,,
re,,sin,house,,sin,,"pinnow1959versuch[p. 165, item 1585, set V355]",,Pinnow comparative set V355.,pinnow1959versuch:C:c10.p165.i1585.sV355,,,,
Birhor,,sirma,"sky, heaven, year",,sirma,,"pinnow1959versuch[p. 77, item 1225, set V63]",,Pinnow comparative set V63.,pinnow1959versuch:C:c7.p77.i1225.sV063,,,,
ho,,sirma,"sky, heaven, year",,sirma,,"pinnow1959versuch[p. 77, item 1225, set V63]",,Pinnow comparative set V63.,pinnow1959versuch:C:c6.p77.i1225.sV063,,,,
mu,,sirma,"sky, heaven, year",,sirma,,"pinnow1959versuch[p. 77, item 1225, set V63]",,Pinnow comparative set V63.,pinnow1959versuch:C:c4.p77.i1225.sV063,,,,
Birhor,m69,sisi'l,flesh,,sisi'l,,"pinnow1959versuch[p. 119, item 1413, set V228]",,Pinnow comparative set V228. Linked to Rau m69 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p119.i1413.sV228,,,,
ko,,sita,dog,,sita,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c5.p242.i297.sK243,,,,
ko,,tsita,dog,,tsita,,"pinnow1959versuch[p. 242, item 297, set K243]",,Pinnow comparative set K243.,pinnow1959versuch:C:c5.p242.i297.sK243:v2,pinnow1959versuch:C:c5.p242.i297.sK243,,,
mu,,siŋ,a tree,,siŋ,,"pinnow1959versuch[p. 131, item 1474-4, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c4.p131.i1474-4.sV274,,,,
kw,,siŋ,tree,,siŋ,,"pinnow1959versuch[p. 131, item 1474, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c12.p131.i1474.sV274,,,,
mu,,siŋ-aɽaʔ,"{Sci.name} Bauhinia purpurea, Linn.; its leaves, used as a potherb",,siŋ-aɽaʔ,,"pinnow1959versuch[p. 131, item 1474-2, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c4.p131.i1474-2.sV274,,,,
mu,,siŋəɽaʔ,"{Sci.name} Bauhinia purpurea, Linn.; its leaves, used as a potherb",,siŋəɽaʔ,,"pinnow1959versuch[p. 131, item 1474-2, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c4.p131.i1474-2.sV274:v2,pinnow1959versuch:C:c4.p131.i1474-2.sV274,,,
so,,siŋ-ˈboːŋ-ən,name of a Sora deity,,siŋ-ˈboːŋ-ən,,"pinnow1959versuch[p. 113, item 1389-1, set V213]",,Pinnow comparative set V213.,pinnow1959versuch:C:c3.p113.i1389-1.sV213,,,,
mu,,siŋaɽaʔ,"{Sci.name} Bauhinia purpurea, Linn.; its leaves, used as a potherb",,siŋaɽaʔ,,"pinnow1959versuch[p. 131, item 1474, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c4.p131.i1474.sV274,,,,
ho,,siŋaːʔ,"the leaves of siŋaːʔ-daru {Sci.name} Bauhinia purpurea, Linn., Caesalpinae, used as a potherb",,siŋaːʔ,,"pinnow1959versuch[p. 131, item 1474, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c6.p131.i1474.sV274,,,,
Mahali,,siŋbɔŋɡɑ,selten,,siŋbɔŋɡɑ,,"pinnow1959versuch[p. 113, item 1389, set V213]",,Pinnow comparative set V213.,pinnow1959versuch:C:c16.p113.i1389.sV213,,,,
