sa,pkh-166-62,buhɛl,to float,,buhɛl,,"munda1968proto[p. 62, SEAlang record 166]",,Munda's Santali reflex of pkh-166-62.,munda1968proto:C:c1.p166.i62,,,,
sa,pkh-145-61,bul,be intoxicated,,bul,,"munda1968proto[p. 61, SEAlang record 145]",,Munda's Santali reflex of pkh-145-61.,munda1968proto:C:c1.p145.i61,,,,
PreMu,pkh-145-61,bul,be intoxicated,,bul,,"munda1968proto[p. 61, SEAlang record 145]",,Munda's reconstructed pre-Mundari reflex of pkh-145-61.,munda1968proto:R:c2.p145.i61,,,,
sa,pkh-198-65,bulu,thigh,,bulu,,"munda1968proto[p. 65, SEAlang record 198]",,Munda's Santali reflex of pkh-198-65.,munda1968proto:C:c1.p198.i65,,,,
PreMu,pkh-198-65,bulu,thigh,,bulu,,"munda1968proto[p. 65, SEAlang record 198]",,Munda's reconstructed pre-Mundari reflex of pkh-198-65.,munda1968proto:R:c2.p198.i65,,,,
sa,pkh-1421-151,buluŋ,salt,,buluŋ,,"munda1968proto[p. 151, SEAlang record 1421]",,Munda's Santali reflex of pkh-1421-151.,munda1968proto:C:c1.p1421.i151,,,,
PreMu,pkh-1421-151,buluŋ,salt,,buluŋ,,"munda1968proto[p. 151, SEAlang record 1421]",,Munda's reconstructed pre-Mundari reflex of pkh-1421-151.,munda1968proto:R:c2.p1421.i151,,,,
PreMu,pkh-188-64,buraʔ,to draw water,,buraʔ,,"munda1968proto[p. 64, SEAlang record 188]",,Munda's reconstructed pre-Mundari reflex of pkh-188-64.,munda1968proto:R:c2.p188.i64,,,,
sa,pkh-199-65,buru,mountain,,buru,,"munda1968proto[p. 65, SEAlang record 199]",,Munda's Santali reflex of pkh-199-65.,munda1968proto:C:c1.p199.i65,,,,
PreMu,pkh-199-65,buru,mountain,,buru,,"munda1968proto[p. 65, SEAlang record 199]",,Munda's reconstructed pre-Mundari reflex of pkh-199-65.,munda1968proto:R:c2.p199.i65,,,,
sa,pkh-225-67,burum,to lie down,,burum,,"munda1968proto[p. 67, SEAlang record 225]",,Munda's Santali reflex of pkh-225-67.,munda1968proto:C:c1.p225.i67,,,,
PreMu,pkh-225-67,burum,to lie down,,burum,,"munda1968proto[p. 67, SEAlang record 225]",,Munda's reconstructed pre-Mundari reflex of pkh-225-67.,munda1968proto:R:c2.p225.i67,,,,
sa,pkh-196-64x2,busaɽ,to burst,,busaɽ,,"munda1968proto[p. 64-2, SEAlang record 196]",,Munda's Santali reflex of pkh-196-64x2.,munda1968proto:C:c1.p196.i64-2,,,,
PreMu,pkh-196-64x2,busaɽ,to burst,,busaɽ,,"munda1968proto[p. 64-2, SEAlang record 196]",,Munda's reconstructed pre-Mundari reflex of pkh-196-64x2.,munda1968proto:R:c2.p196.i64-2,,,,
sa,pkh-196-64,busaʔ,to burst,,busaʔ,,"munda1968proto[p. 64, SEAlang record 196]",,Munda's Santali reflex of pkh-196-64.,munda1968proto:C:c1.p196.i64,,,,
PreMu,pkh-196-64,busaʔ,to burst,,busaʔ,,"munda1968proto[p. 64, SEAlang record 196]",,Munda's reconstructed pre-Mundari reflex of pkh-196-64.,munda1968proto:R:c2.p196.i64,,,,
PreMu,pkh-313-74,buɡi,"good, get well",,buɡi,,"munda1968proto[p. 74, SEAlang record 313]",,Munda's reconstructed pre-Mundari reflex of pkh-313-74.,munda1968proto:R:c2.p313.i74,,,,
sa,pkh-213-66,buɽuɟ,slippery,,buɽuɟ,,"munda1968proto[p. 66, SEAlang record 213]",,Munda's Santali reflex of pkh-213-66.,munda1968proto:C:c1.p213.i66,,,,
PreMu,pkh-213-66,buɽuɟ,slippery,,buɽuɟ,,"munda1968proto[p. 66, SEAlang record 213]",,Munda's reconstructed pre-Mundari reflex of pkh-213-66.,munda1968proto:R:c2.p213.i66,,,,
PreMu,pkh-172-63,buʈa,"root, base",,buʈa,,"munda1968proto[p. 63, SEAlang record 172]",,Munda's reconstructed pre-Mundari reflex of pkh-172-63.,munda1968proto:R:c2.p172.i63,,,,
PreMu,pkh-172-63,ɡuʈa,"root, base",,ɡuʈa,,"munda1968proto[p. 63, SEAlang record 172]",,Munda's reconstructed pre-Mundari reflex of pkh-172-63.,munda1968proto:R:c2.p172.i63:v2,munda1968proto:R:c2.p172.i63,,,
sa,pkh-172-63,buʈa,"root, base",,buʈa,,"munda1968proto[p. 63, SEAlang record 172]",,Munda's Santali reflex of pkh-172-63.,munda1968proto:C:c1.p172.i63,,,,
PreMu,pkh-139-60,buʔ,hole,,buʔ,,"munda1968proto[p. 60, SEAlang record 139]",,Munda's reconstructed pre-Mundari reflex of pkh-139-60.,munda1968proto:R:c2.p139.i60,,,,
sa,pkh-572-94,bɔaʔ,"huge, big",,bɔaʔ,,"munda1968proto[p. 94, SEAlang record 572]",,Munda's Santali reflex of pkh-572-94.,munda1968proto:C:c1.p572.i94,,,,
PreMu,pkh-572-94,bɔaʔ,"huge, big",,bɔaʔ,,"munda1968proto[p. 94, SEAlang record 572]",,Munda's reconstructed pre-Mundari reflex of pkh-572-94.,munda1968proto:R:c2.p572.i94,,,,
sa,pkh-550-93,bɔda,he-goat,,bɔda,,"munda1968proto[p. 93, SEAlang record 550]",,Munda's Santali reflex of pkh-550-93.,munda1968proto:C:c1.p550.i93,,,,
PreMu,pkh-550-93,bɔda,he-goat,,bɔda,,"munda1968proto[p. 93, SEAlang record 550]",,Munda's reconstructed pre-Mundari reflex of pkh-550-93.,munda1968proto:R:c2.p550.i93,,,,
sa,pkh-622-97,bɔhɔʔ,head,,bɔhɔʔ,,"munda1968proto[p. 97, SEAlang record 622]",,Munda's Santali reflex of pkh-622-97.,munda1968proto:C:c1.p622.i97,,,,
PreMu,pkh-622-97,bɔhɔʔ,head,,bɔhɔʔ,,"munda1968proto[p. 97, SEAlang record 622]",,Munda's reconstructed pre-Mundari reflex of pkh-622-97.,munda1968proto:R:c2.p622.i97,,,,
sa,pkh-588-95,bɔkɔ,brother,,bɔkɔ,,"munda1968proto[p. 95, SEAlang record 588]",,Munda's Santali reflex of pkh-588-95.,munda1968proto:C:c1.p588.i95,,,,
PreMu,pkh-588-95,bɔkɔ,brother,,bɔkɔ,,"munda1968proto[p. 95, SEAlang record 588]",,Munda's reconstructed pre-Mundari reflex of pkh-588-95.,munda1968proto:R:c2.p588.i95,,,,
sa,pkh-589-95,bɔlɔ,to enter,,bɔlɔ,,"munda1968proto[p. 95, SEAlang record 589]",,Munda's Santali reflex of pkh-589-95.,munda1968proto:C:c1.p589.i95,,,,
PreMu,pkh-589-95,bɔlɔ,to enter,,bɔlɔ,,"munda1968proto[p. 95, SEAlang record 589]",,Munda's reconstructed pre-Mundari reflex of pkh-589-95.,munda1968proto:R:c2.p589.i95,,,,
sa,pkh-534-91,bɔr,to take out (thread),,bɔr,,"munda1968proto[p. 91, SEAlang record 534]",,Munda's Santali reflex of pkh-534-91.,munda1968proto:C:c1.p534.i91,,,,
PreMu,pkh-534-91,bɔr,to take out (thread),,bɔr,,"munda1968proto[p. 91, SEAlang record 534]",,Munda's reconstructed pre-Mundari reflex of pkh-534-91.,munda1968proto:R:c2.p534.i91,,,,
sa,pkh-644-99,bɔrɔɽ,slippery,,bɔrɔɽ,,"munda1968proto[p. 99, SEAlang record 644]",,Munda's Santali reflex of pkh-644-99.,munda1968proto:C:c1.p644.i99,,,,
PreMu,pkh-644-99,bɔrɔɽ,slippery,,bɔrɔɽ,,"munda1968proto[p. 99, SEAlang record 644]",,Munda's reconstructed pre-Mundari reflex of pkh-644-99.,munda1968proto:R:c2.p644.i99,,,,
sa,pkh-613-97,bɔtɔɟ,loincloth,,bɔtɔɟ,,"munda1968proto[p. 97, SEAlang record 613]",,Munda's Santali reflex of pkh-613-97.,munda1968proto:C:c1.p613.i97,,,,
PreMu,pkh-613-97,bɔtɔɟ,loincloth,,bɔtɔɟ,,"munda1968proto[p. 97, SEAlang record 613]",,Munda's reconstructed pre-Mundari reflex of pkh-613-97.,munda1968proto:R:c2.p613.i97,,,,
PreMu,pkh-552-93,bɔŋɡa,spirit,,bɔŋɡa,,"munda1968proto[p. 93, SEAlang record 552]",,Munda's reconstructed pre-Mundari reflex of pkh-552-93.,munda1968proto:R:c2.p552.i93,,,,
sa,pkh-612-97,bɔɖɔɟ,to squeeze,,bɔɖɔɟ,,"munda1968proto[p. 97, SEAlang record 612]",,Munda's Santali reflex of pkh-612-97.,munda1968proto:C:c1.p612.i97,,,,
PreMu,pkh-612-97,bɔɖɔɟ,to squeeze,,bɔɖɔɟ,,"munda1968proto[p. 97, SEAlang record 612]",,Munda's reconstructed pre-Mundari reflex of pkh-612-97.,munda1968proto:R:c2.p612.i97,,,,
sa,pkh-551-93,bɔɛha,brother,,bɔɛha,,"munda1968proto[p. 93, SEAlang record 551]",,Munda's Santali reflex of pkh-551-93.,munda1968proto:C:c1.p551.i93,,,,
PreMu,pkh-551-93,bɔɛha,brother,,bɔɛha,,"munda1968proto[p. 93, SEAlang record 551]",,Munda's reconstructed pre-Mundari reflex of pkh-551-93.,munda1968proto:R:c2.p551.i93,,,,
sa,pkh-518-90,bɔɟ,to slip off,,bɔɟ,,"munda1968proto[p. 90, SEAlang record 518]",,Munda's Santali reflex of pkh-518-90.,munda1968proto:C:c1.p518.i90,,,,
PreMu,pkh-518-90,bɔɟ,to slip off,,bɔɟ,,"munda1968proto[p. 90, SEAlang record 518]",,Munda's reconstructed pre-Mundari reflex of pkh-518-90.,munda1968proto:R:c2.p518.i90,,,,
sa,pkh-553-93,bɔɽa,blunt,,bɔɽa,,"munda1968proto[p. 93, SEAlang record 553]",,Munda's Santali reflex of pkh-553-93.,munda1968proto:C:c1.p553.i93,,,,
sa,pkh-553-93,bɔɽɔ,blunt,,bɔɽɔ,,"munda1968proto[p. 93, SEAlang record 553]",,Munda's Santali reflex of pkh-553-93.,munda1968proto:C:c1.p553.i93:v2,munda1968proto:C:c1.p553.i93,,,
PreMu,pkh-553-93,bɔɽa,blunt,,bɔɽa,,"munda1968proto[p. 93, SEAlang record 553]",,Munda's reconstructed pre-Mundari reflex of pkh-553-93.,munda1968proto:R:c2.p553.i93,,,,
sa,pkh-358-78,bɛc,to spit,,bɛc,,"munda1968proto[p. 78-1, SEAlang record 358]",,Munda's Santali reflex of pkh-358-78.,munda1968proto:C:c1.p358.i78-1,,,,
sa,pkh-355-77,bɛd,turban,,bɛd,,"munda1968proto[p. 77, SEAlang record 355]",,Munda's Santali reflex of pkh-355-77.,munda1968proto:C:c1.p355.i77,,,,
PreMu,pkh-355-77,bɛd,turban,,bɛd,,"munda1968proto[p. 77, SEAlang record 355]",,Munda's reconstructed pre-Mundari reflex of pkh-355-77.,munda1968proto:R:c2.p355.i77,,,,
PKher,pkh-355-77,bɛd,turban,,bɛd,,"munda1968proto[p. 77, SEAlang record 355]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p355.i77,,,,
sa,pkh-447-85,bɛdrɛɟ,"tiny, small",,bɛdrɛɟ,,"munda1968proto[p. 85, SEAlang record 447]",,Munda's Santali reflex of pkh-447-85.,munda1968proto:C:c1.p447.i85,,,,
PreMu,pkh-447-85,bɛdrɛɟ,"tiny, small",,bɛdrɛɟ,,"munda1968proto[p. 85, SEAlang record 447]",,Munda's reconstructed pre-Mundari reflex of pkh-447-85.,munda1968proto:R:c2.p447.i85,,,,
PreMu,pkh-423-83,bɛnʈa,to tie cloth on; turban,,bɛnʈa,,"munda1968proto[p. 83, SEAlang record 423]",,Munda's reconstructed pre-Mundari reflex of pkh-423-83.,munda1968proto:R:c2.p423.i83,,,,
sa,pkh-461-86,bɛrɛl,raw,,bɛrɛl,,"munda1968proto[p. 86, SEAlang record 461]",,Munda's Santali reflex of pkh-461-86.,munda1968proto:C:c1.p461.i86,,,,
PreMu,pkh-461-86,bɛrɛl,raw,,bɛrɛl,,"munda1968proto[p. 86, SEAlang record 461]",,Munda's reconstructed pre-Mundari reflex of pkh-461-86.,munda1968proto:R:c2.p461.i86,,,,
sa,pkh-383-80,bɛsra,kind of bird,,bɛsra,,"munda1968proto[p. 80, SEAlang record 383]",,Munda's Santali reflex of pkh-383-80.,munda1968proto:C:c1.p383.i80,,,,
PreMu,pkh-383-80,bɛsra,kind of bird,,bɛsra,,"munda1968proto[p. 80, SEAlang record 383]",,Munda's reconstructed pre-Mundari reflex of pkh-383-80.,munda1968proto:R:c2.p383.i80,,,,
sa,pkh-382-80,bɛɖa,lowland,,bɛɖa,,"munda1968proto[p. 80, SEAlang record 382]",,Munda's Santali reflex of pkh-382-80.,munda1968proto:C:c1.p382.i80,,,,
PreMu,pkh-382-80,bɛɖa,lowland,,bɛɖa,,"munda1968proto[p. 80, SEAlang record 382]",,Munda's reconstructed pre-Mundari reflex of pkh-382-80.,munda1968proto:R:c2.p382.i80,,,,
sa,pkh-358-78,bɛɟ,to spit,,bɛɟ,,"munda1968proto[p. 78, SEAlang record 358]",,Munda's Santali reflex of pkh-358-78.,munda1968proto:C:c1.p358.i78,,,,
PreMu,pkh-358-78,bɛɟ,to spit,,bɛɟ,,"munda1968proto[p. 78, SEAlang record 358]",,Munda's reconstructed pre-Mundari reflex of pkh-358-78.,munda1968proto:R:c2.p358.i78,,,,
PKher,pkh-358-78,bɛɟ,to spit,,bɛɟ,,"munda1968proto[p. 78, SEAlang record 358]",,Munda's Proto-Kherwarian reconstruction.,munda1968proto:R:c3.p358.i78,,,,
sa,pkh-408-82,bɛɲɟaʔ,rheum,,bɛɲɟaʔ,,"munda1968proto[p. 82, SEAlang record 408]",,Munda's Santali reflex of pkh-408-82.,munda1968proto:C:c1.p408.i82,,,,
sa,pkh-1277-143,caba,to finish,,caba,,"munda1968proto[p. 143, SEAlang record 1277]",,Munda's Santali reflex of pkh-1277-143.,munda1968proto:C:c1.p1277.i143,,,,
PreMu,pkh-1277-143,caba,to finish,,caba,,"munda1968proto[p. 143, SEAlang record 1277]",,Munda's reconstructed pre-Mundari reflex of pkh-1277-143.,munda1968proto:R:c2.p1277.i143,,,,
sa,pkh-1003-126,cacaʔ,to tear off,,cacaʔ,,"munda1968proto[p. 126, SEAlang record 1003]",,Munda's Santali reflex of pkh-1003-126.,munda1968proto:C:c1.p1003.i126,,,,
sa,pkh-89-58,cacki,to cheat,,cacki,,"munda1968proto[p. 58, SEAlang record 89]",,Munda's Santali reflex of pkh-89-58.,munda1968proto:C:c1.p89.i58,,,,
PreMu,pkh-89-58,cacki,to cheat,,cacki,,"munda1968proto[p. 58, SEAlang record 89]",,Munda's reconstructed pre-Mundari reflex of pkh-89-58.,munda1968proto:R:c2.p89.i58,,,,
PreMu,pkh-872-116,cacu,to walk (children),,cacu,,"munda1968proto[p. 116, SEAlang record 872]",,Munda's reconstructed pre-Mundari reflex of pkh-872-116.,munda1968proto:R:c2.p872.i116,,,,
sa,pkh-872-116,cacɔ,to walk (children),,cacɔ,,"munda1968proto[p. 116, SEAlang record 872]",,Munda's Santali reflex of pkh-872-116.,munda1968proto:C:c1.p872.i116,,,,
sa,pkh-988-125,cahab,to open mouth,,cahab,,"munda1968proto[p. 125, SEAlang record 988]",,Munda's Santali reflex of pkh-988-125.,munda1968proto:C:c1.p988.i125,,,,
PreMu,pkh-988-125,cahab,to open mouth,,cahab,,"munda1968proto[p. 125, SEAlang record 988]",,Munda's reconstructed pre-Mundari reflex of pkh-988-125.,munda1968proto:R:c2.p988.i125,,,,
PreMu,pkh-688-103,caki,heap of something,,caki,,"munda1968proto[p. 103, SEAlang record 688]",,Munda's reconstructed pre-Mundari reflex of pkh-688-103.,munda1968proto:R:c2.p688.i103,,,,
sa,pkh-885-117,cakɔb,to bite,,cakɔb,,"munda1968proto[p. 117, SEAlang record 885]",,Munda's Santali reflex of pkh-885-117.,munda1968proto:C:c1.p885.i117,,,,
PreMu,pkh-885-117,cakɔb,to bite,,cakɔb,,"munda1968proto[p. 117, SEAlang record 885]",,Munda's reconstructed pre-Mundari reflex of pkh-885-117.,munda1968proto:R:c2.p885.i117,,,,
sa,pkh-688-103,cakɛ,heap of something,,cakɛ,,"munda1968proto[p. 103, SEAlang record 688]",,Munda's Santali reflex of pkh-688-103.,munda1968proto:C:c1.p688.i103,,,,
PreMu,pkh-661-101,calɔm,tail,,calɔm,,"munda1968proto[p. 101, SEAlang record 661]",,Munda's reconstructed pre-Mundari reflex of pkh-661-101.,munda1968proto:R:c2.p661.i101,,,,
PreMu,pkh-661-101,caʔlɔm,tail,,caʔlɔm,,"munda1968proto[p. 101, SEAlang record 661]",,Munda's reconstructed pre-Mundari reflex of pkh-661-101.,munda1968proto:R:c2.p661.i101:v2,munda1968proto:R:c2.p661.i101,,,
sa,pkh-284-72,campur,talkative,,campur,,"munda1968proto[p. 72, SEAlang record 284]",,Munda's Santali reflex of pkh-284-72.,munda1968proto:C:c1.p284.i72,,,,
PreMu,pkh-284-72,campur,talkative,,campur,,"munda1968proto[p. 72, SEAlang record 284]",,Munda's reconstructed pre-Mundari reflex of pkh-284-72.,munda1968proto:R:c2.p284.i72,,,,
sa,pkh-994-126,capad,to step on,,capad,,"munda1968proto[p. 126, SEAlang record 994]",,Munda's Santali reflex of pkh-994-126.,munda1968proto:C:c1.p994.i126,,,,
PreMu,pkh-994-126,capad,to step on,,capad,,"munda1968proto[p. 126, SEAlang record 994]",,Munda's reconstructed pre-Mundari reflex of pkh-994-126.,munda1968proto:R:c2.p994.i126,,,,
PreMu,pkh-690-103,capi,"to wash, scrub",,capi,,"munda1968proto[p. 103, SEAlang record 690]",,Munda's reconstructed pre-Mundari reflex of pkh-690-103.,munda1968proto:R:c2.p690.i103,,,,
sa,pkh-729-106,capo,to touch,,capo,,"munda1968proto[p. 106, SEAlang record 729]",,Munda's Santali reflex of pkh-729-106.,munda1968proto:C:c1.p729.i106,,,,
PreMu,pkh-729-106,capu,to touch,,capu,,"munda1968proto[p. 106, SEAlang record 729]",,Munda's reconstructed pre-Mundari reflex of pkh-729-106.,munda1968proto:R:c2.p729.i106,,,,
sa,pkh-690-103,capɛ,"to wash, scrub",,capɛ,,"munda1968proto[p. 103, SEAlang record 690]",,Munda's Santali reflex of pkh-690-103.,munda1968proto:C:c1.p690.i103,,,,
PreMu,pkh-697-104,cariɟ,wooden pin,,cariɟ,,"munda1968proto[p. 104, SEAlang record 697]",,Munda's reconstructed pre-Mundari reflex of pkh-697-104.,munda1968proto:R:c2.p697.i104,,,,
sa,pkh-697-104,carɛɟ,wooden pin,,carɛɟ,,"munda1968proto[p. 104, SEAlang record 697]",,Munda's Santali reflex of pkh-697-104.,munda1968proto:C:c1.p697.i104,,,,
PreMu,pkh-689-103,caŋki,to jump,,caŋki,,"munda1968proto[p. 103, SEAlang record 689]",,Munda's reconstructed pre-Mundari reflex of pkh-689-103.,munda1968proto:R:c2.p689.i103,,,,
sa,pkh-689-103,caŋkɛ,to jump,,caŋkɛ,,"munda1968proto[p. 103, SEAlang record 689]",,Munda's Santali reflex of pkh-689-103.,munda1968proto:C:c1.p689.i103,,,,
sa,pkh-953-123,caŋɡa,step,,caŋɡa,,"munda1968proto[p. 123, SEAlang record 953]",,Munda's Santali reflex of pkh-953-123.,munda1968proto:C:c1.p953.i123,,,,
PreMu,pkh-953-123,caŋɡa,step,,caŋɡa,,"munda1968proto[p. 123, SEAlang record 953]",,Munda's reconstructed pre-Mundari reflex of pkh-953-123.,munda1968proto:R:c2.p953.i123,,,,
PreMu,pkh-1050-129,caŋɡaɽ,"to break, split",,caŋɡaɽ,,"munda1968proto[p. 129, SEAlang record 1050]",,Munda's reconstructed pre-Mundari reflex of pkh-1050-129.,munda1968proto:R:c2.p1050.i129,,,,
PreMu,pkh-728-106,caɖu,to drown,,caɖu,,"munda1968proto[p. 106, SEAlang record 728]",,Munda's reconstructed pre-Mundari reflex of pkh-728-106.,munda1968proto:R:c2.p728.i106,,,,
sa,pkh-728-106,caɖɔ,to drown,,caɖɔ,,"munda1968proto[p. 106, SEAlang record 728]",,Munda's Santali reflex of pkh-728-106.,munda1968proto:C:c1.p728.i106,,,,
sa,pkh-1050-129,caɡaɽ,"to break, split",,caɡaɽ,,"munda1968proto[p. 129, SEAlang record 1050]",,Munda's Santali reflex of pkh-1050-129.,munda1968proto:C:c1.p1050.i129,,,,
sa,pkh-661-101,caɳɖlɔm,tail,,caɳɖlɔm,,"munda1968proto[p. 101, SEAlang record 661]",,Munda's Santali reflex of pkh-661-101.,munda1968proto:C:c1.p661.i101,,,,
PreMu,pkh-1003-126,cecaʔ,to tear off,,cecaʔ,,"munda1968proto[p. 126, SEAlang record 1003]",,Munda's reconstructed pre-Mundari reflex of pkh-1003-126.,munda1968proto:R:c2.p1003.i126,,,,
sa,pkh-372-79,chɛr,to melt,,chɛr,,"munda1968proto[p. 79, SEAlang record 372]",,Munda's Santali reflex of pkh-372-79.,munda1968proto:C:c1.p372.i79,,,,
PreMu,pkh-675-102,ci-ka-,interrogation,,ci-ka-,,"munda1968proto[p. 102, SEAlang record 675]",,Munda's reconstructed pre-Mundari reflex of pkh-675-102.,munda1968proto:R:c2.p675.i102,,,,
sa,pkh-47-54,cipud,fist; to grasp,,cipud,,"munda1968proto[p. 54, SEAlang record 47]",,Munda's Santali reflex of pkh-47-54.,munda1968proto:C:c1.p47.i54,,,,
sa,pkh-47-54,cupud,fist; to grasp,,cupud,,"munda1968proto[p. 54, SEAlang record 47]",,Munda's Santali reflex of pkh-47-54.,munda1968proto:C:c1.p47.i54:v2,munda1968proto:C:c1.p47.i54,,,
PreMu,pkh-47-54,cipud,fist; to grasp,,cipud,,"munda1968proto[p. 54, SEAlang record 47]",,Munda's reconstructed pre-Mundari reflex of pkh-47-54.,munda1968proto:R:c2.p47.i54,,,,
PreMu,pkh-47-54,cupud,fist; to grasp,,cupud,,"munda1968proto[p. 54, SEAlang record 47]",,Munda's reconstructed pre-Mundari reflex of pkh-47-54.,munda1968proto:R:c2.p47.i54:v2,munda1968proto:R:c2.p47.i54,,,
sa,pkh-1064-130,cirɡal,to be aware,,cirɡal,,"munda1968proto[p. 130, SEAlang record 1064]",,Munda's Santali reflex of pkh-1064-130.,munda1968proto:C:c1.p1064.i130,,,,
PreMu,pkh-1064-130,cirɡal,to be aware,,cirɡal,,"munda1968proto[p. 130, SEAlang record 1064]",,Munda's reconstructed pre-Mundari reflex of pkh-1064-130.,munda1968proto:R:c2.p1064.i130,,,,
sa,pkh-54-55,citri,partridge,,citri,,"munda1968proto[p. 55, SEAlang record 54]",,Munda's Santali reflex of pkh-54-55.,munda1968proto:C:c1.p54.i55,,,,
PreMu,pkh-54-55,citri,partridge,,citri,,"munda1968proto[p. 55, SEAlang record 54]",,Munda's reconstructed pre-Mundari reflex of pkh-54-55.,munda1968proto:R:c2.p54.i55,,,,
sa,pkh-326-75,coʈo,rat,,coʈo,,"munda1968proto[p. 75, SEAlang record 326]",,Munda's Santali reflex of pkh-326-75.,munda1968proto:C:c1.p326.i75,,,,
sa,pkh-189-64,cubaʔ,to get small particle in the eye,,cubaʔ,,"munda1968proto[p. 64, SEAlang record 189]",,Munda's Santali reflex of pkh-189-64.,munda1968proto:C:c1.p189.i64,,,,part
PreMu,pkh-189-64,cubaʔ,to get small particle in the eye,,cubaʔ,,"munda1968proto[p. 64, SEAlang record 189]",,Munda's reconstructed pre-Mundari reflex of pkh-189-64.,munda1968proto:R:c2.p189.i64,,,,part
sa,pkh-214-66,cubuɟ,to prick,,cubuɟ,,"munda1968proto[p. 66, SEAlang record 214]",,Munda's Santali reflex of pkh-214-66.,munda1968proto:C:c1.p214.i66,,,,
PreMu,pkh-214-66,cubuɟ,to prick,,cubuɟ,,"munda1968proto[p. 66, SEAlang record 214]",,Munda's reconstructed pre-Mundari reflex of pkh-214-66.,munda1968proto:R:c2.p214.i66,,,,
PreMu,pkh-705-104,cud,"to sit high, help climb up",,cud,,"munda1968proto[p. 104, SEAlang record 705]",,Munda's reconstructed pre-Mundari reflex of pkh-705-104.,munda1968proto:R:c2.p705.i104,,,,
sa,pkh-150-61,cund,muskrat,,cund,,"munda1968proto[p. 61, SEAlang record 150]",,Munda's Santali reflex of pkh-150-61.,munda1968proto:C:c1.p150.i61,,,,
PreMu,pkh-150-61,cundi,muskrat,,cundi,,"munda1968proto[p. 61, SEAlang record 150]",,Munda's reconstructed pre-Mundari reflex of pkh-150-61.,munda1968proto:R:c2.p150.i61,,,,
PreMu,pkh-326-75,cuʈu,rat,,cuʈu,,"munda1968proto[p. 75, SEAlang record 326]",,Munda's reconstructed pre-Mundari reflex of pkh-326-75.,munda1968proto:R:c2.p326.i75,,,,
sa,pkh-581-94,cɔaʔ,to break,,cɔaʔ,,"munda1968proto[p. 94, SEAlang record 581]",,Munda's Santali reflex of pkh-581-94.,munda1968proto:C:c1.p581.i94,,,,
PreMu,pkh-581-94,cɔaʔ,to break,,cɔaʔ,,"munda1968proto[p. 94, SEAlang record 581]",,Munda's reconstructed pre-Mundari reflex of pkh-581-94.,munda1968proto:R:c2.p581.i94,,,,
sa,pkh-705-104,cɔd,"to sit high, help climb up",,cɔd,,"munda1968proto[p. 104, SEAlang record 705]",,Munda's Santali reflex of pkh-705-104.,munda1968proto:C:c1.p705.i104,,,,
sa,pkh-554-93,cɔpa,kernel,,cɔpa,,"munda1968proto[p. 93, SEAlang record 554]",,Munda's Santali reflex of pkh-554-93.,munda1968proto:C:c1.p554.i93,,,,
PreMu,pkh-554-93,cɔpa,kernel,,cɔpa,,"munda1968proto[p. 93, SEAlang record 554]",,Munda's reconstructed pre-Mundari reflex of pkh-554-93.,munda1968proto:R:c2.p554.i93,,,,
sa,pkh-614-97,cɔpɔɟ,to suck,,cɔpɔɟ,,"munda1968proto[p. 97, SEAlang record 614]",,Munda's Santali reflex of pkh-614-97.,munda1968proto:C:c1.p614.i97,,,,
PreMu,pkh-614-97,cɔpɔɟ,to suck,,cɔpɔɟ,,"munda1968proto[p. 97, SEAlang record 614]",,Munda's reconstructed pre-Mundari reflex of pkh-614-97.,munda1968proto:R:c2.p614.i97,,,,
sa,pkh-590-95,cɔrɔ,to leak,,cɔrɔ,,"munda1968proto[p. 95, SEAlang record 590]",,Munda's Santali reflex of pkh-590-95.,munda1968proto:C:c1.p590.i95,,,,
sa,pkh-590-95,ɟɔrɔ,to leak,,ɟɔrɔ,,"munda1968proto[p. 95, SEAlang record 590]",,Munda's Santali reflex of pkh-590-95.,munda1968proto:C:c1.p590.i95:v2,munda1968proto:C:c1.p590.i95,,,
sa,pkh-574-94,cɔʈaʔ,to come off,,cɔʈaʔ,,"munda1968proto[p. 94, SEAlang record 574]",,Munda's Santali reflex of pkh-574-94.,munda1968proto:C:c1.p574.i94,,,,
PreMu,pkh-574-94,cɔʈaʔ,to come off,,cɔʈaʔ,,"munda1968proto[p. 94, SEAlang record 574]",,Munda's reconstructed pre-Mundari reflex of pkh-574-94.,munda1968proto:R:c2.p574.i94,,,,
sa,pkh-521-91,cɔʔ,to kiss,,cɔʔ,,"munda1968proto[p. 91, SEAlang record 521]",,Munda's Santali reflex of pkh-521-91.,munda1968proto:C:c1.p521.i91,,,,
PreMu,pkh-521-91,cɔʔ,to kiss,,cɔʔ,,"munda1968proto[p. 91, SEAlang record 521]",,Munda's reconstructed pre-Mundari reflex of pkh-521-91.,munda1968proto:R:c2.p521.i91,,,,
sa,pkh-675-102,cɛ-ka-,interrogation,,cɛ-ka-,,"munda1968proto[p. 102, SEAlang record 675]",,Munda's Santali reflex of pkh-675-102.,munda1968proto:C:c1.p675.i102,,,,
sa,pkh-466-86,cɛ-p-ɛl,wave,,cɛ-p-ɛl,,"munda1968proto[p. 86, SEAlang record 466]",,Munda's Santali reflex of pkh-466-86.,munda1968proto:C:c1.p466.i86,,,,
