Goj,,dʒhɑn,body,,dʒhɑn,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 42, printed p. 34, item 1, list UDH]",,,sileasterngujari2023:p042:i001:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,pɑi,older brother,,pɑi,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list RAM]",,,sileasterngujari2023:p059:i107:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,pɑgwo,older brother,,pɑgwo,source lexical-similarity group 4; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list RAM]",,,sileasterngujari2023:p059:i107:RAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,pɑu,older brother,,pɑu,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list NAL]",,,sileasterngujari2023:p059:i107:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,pɑu,older brother,,pɑu,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list DEH]",,,sileasterngujari2023:p059:i107:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,paːu,older brother,,paːu,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list KOT]",,,sileasterngujari2023:p059:i107:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,paːu,older brother,,paːu,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 107, list HAL]",,,sileasterngujari2023:p059:i107:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,niko bhɑi,younger brother,,niko bhɑi,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list UDH]",,,sileasterngujari2023:p059:i108:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,loko bhɑi,younger brother,,loko bhɑi,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list JAM]",,,sileasterngujari2023:p059:i108:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,tʃoʈɑ bɑi,younger brother,,tʃoʈɑ bɑi,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list CHA]",,,sileasterngujari2023:p059:i108:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,nɪko bhɑi,younger brother,,nɪko bhɑi,source lexical-similarity group 1; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list RAM]",,,sileasterngujari2023:p059:i108:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,loko bhɑi,younger brother,,loko bhɑi,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list NAL]",,,sileasterngujari2023:p059:i108:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,bhɑi,younger brother,,bhɑi,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list DEH]",,,sileasterngujari2023:p059:i108:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,bhɑi,younger brother,,bhɑi,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list KOT]",,,sileasterngujari2023:p059:i108:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,bhɑi,younger brother,,bhɑi,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 59, printed p. 51, item 108, list HAL]",,,sileasterngujari2023:p059:i108:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,bʌɽi beɨɳ,older sister,,bʌɽi beɨɳ,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list UDH]",,,sileasterngujari2023:p060:i109:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,bʌɽi pɛɳ,older sister,,bʌɽi pɛɳ,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list JAM]",,,sileasterngujari2023:p060:i109:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,bʌɽi pɛɳ,older sister,,bʌɽi pɛɳ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list CHA]",,,sileasterngujari2023:p060:i109:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,bebu,older sister,,bebu,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list RAM]",,,sileasterngujari2023:p060:i109:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,bobo,older sister,,bobo,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list NAL]",,,sileasterngujari2023:p060:i109:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,bʊbʊ,older sister,,bʊbʊ,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list DEH]",,,sileasterngujari2023:p060:i109:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,bɛːn,older sister,,bɛːn,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list KOT]",,,sileasterngujari2023:p060:i109:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,bʊbʊ,older sister,,bʊbʊ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list KOT]",,,sileasterngujari2023:p060:i109:KOT:a2,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,bʊbʊ,older sister,,bʊbʊ,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 109, list HAL]",,,sileasterngujari2023:p060:i109:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,nɪki beɨɳ,younger sister,,nɪki beɨɳ,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list UDH]",,,sileasterngujari2023:p060:i110:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,nɪki pɛn,younger sister,,nɪki pɛn,source lexical-similarity group 1; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list JAM]",,,sileasterngujari2023:p060:i110:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,lɔki pɛɳ,younger sister,,lɔki pɛɳ,source lexical-similarity group 1; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list CHA]",,,sileasterngujari2023:p060:i110:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,niki bebu,younger sister,,niki bebu,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list RAM]",,,sileasterngujari2023:p060:i110:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,loki bɛɪn,younger sister,,loki bɛɪn,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list NAL]",,,sileasterngujari2023:p060:i110:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,tʃoʈi bɛn,younger sister,,tʃoʈi bɛn,source lexical-similarity group 1; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list NAL]",,,sileasterngujari2023:p060:i110:NAL:a2,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,loki bɛɪn,younger sister,,loki bɛɪn,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list DEH]",,,sileasterngujari2023:p060:i110:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,bɛːn,younger sister,,bɛːn,source lexical-similarity group 1; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list KOT]",,,sileasterngujari2023:p060:i110:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,tʃhoʈi bhɛn,younger sister,,tʃhoʈi bhɛn,source lexical-similarity group 1; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 110, list HAL]",,,sileasterngujari2023:p060:i110:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɭɛɽo,son,,ɭɛɽo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list UDH]",,,sileasterngujari2023:p060:i111:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,mʊɳɖɔ,son,,mʊɳɖɔ,source lexical-similarity group 3; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list JAM]",,,sileasterngujari2023:p060:i111:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,putʌɾ,son,,putʌɾ,source lexical-similarity group 7; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list JAM]",,,sileasterngujari2023:p060:i111:JAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,pot,son,,pot,source lexical-similarity group 5; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list CHA]",,,sileasterngujari2023:p060:i111:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,bʌtʃo,son,,bʌtʃo,source lexical-similarity group 6; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list CHA]",,,sileasterngujari2023:p060:i111:CHA:a2,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dʒɑgt,son,,dʒɑgt,source lexical-similarity group 8; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list RAM]",,,sileasterngujari2023:p060:i111:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,muɳɖu,son,,muɳɖu,source lexical-similarity group 3; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list NAL]",,,sileasterngujari2023:p060:i111:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,beʈɑ,son,,beʈɑ,source lexical-similarity group 4; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list DEH]",,,sileasterngujari2023:p060:i111:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,lɑɽkɑ,son,,lɑɽkɑ,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list KOT]",,,sileasterngujari2023:p060:i111:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,mʊɳɖɔ,son,,mʊɳɖɔ,source lexical-similarity group 3; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list KOT]",,,sileasterngujari2023:p060:i111:KOT:a2,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,muɳɖɑ,son,,muɳɖɑ,source lexical-similarity group 3; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 111, list HAL]",,,sileasterngujari2023:p060:i111:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,beʈki,daughter,,beʈki,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list UDH]",,,sileasterngujari2023:p060:i112:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list JAM]",,,sileasterngujari2023:p060:i112:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list CHA]",,,sileasterngujari2023:p060:i112:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,ti,daughter,,ti,source lexical-similarity group 3; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list CHA]",,,sileasterngujari2023:p060:i112:CHA:a2,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list RAM]",,,sileasterngujari2023:p060:i112:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list NAL]",,,sileasterngujari2023:p060:i112:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,beʈi,daughter,,beʈi,source lexical-similarity group 1; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list DEH]",,,sileasterngujari2023:p060:i112:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list KOT]",,,sileasterngujari2023:p060:i112:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,kuɽi,daughter,,kuɽi,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 112, list HAL]",,,sileasterngujari2023:p060:i112:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,dʒɛɳo,husband,,dʒɛɳo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list UDH]",,,sileasterngujari2023:p060:i113:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,khʌsʌm,husband,,khʌsʌm,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list JAM]",,,sileasterngujari2023:p060:i113:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,kɑɾlo,husband,,kɑɾlo,source lexical-similarity group 5; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list JAM]",,,sileasterngujari2023:p060:i113:JAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,gʊdʒʌɾ,husband,,gʊdʒʌɾ,source lexical-similarity group 3; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list CHA]",,,sileasterngujari2023:p060:i113:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,khʌsʌm,husband,,khʌsʌm,source lexical-similarity group 2; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list RAM]",,,sileasterngujari2023:p060:i113:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,khʌsʌm,husband,,khʌsʌm,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list NAL]",,,sileasterngujari2023:p060:i113:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,ghʌrwɑlɑ,husband,,ghʌrwɑlɑ,source lexical-similarity group 7; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list NAL]",,,sileasterngujari2023:p060:i113:NAL:a2,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,khʌsɛm,husband,,khʌsɛm,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list DEH]",,,sileasterngujari2023:p060:i113:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,khʌsɛm,husband,,khʌsɛm,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list KOT]",,,sileasterngujari2023:p060:i113:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,khʌsʌm,husband,,khʌsʌm,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 113, list HAL]",,,sileasterngujari2023:p060:i113:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,tɾɪmt,wife,,tɾɪmt,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list UDH]",,,sileasterngujari2023:p060:i114:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,tʌbɾi,wife,,tʌbɾi,source lexical-similarity group 2; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list UDH]",,,sileasterngujari2023:p060:i114:UDH:a2,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list JAM]",,,sileasterngujari2023:p060:i114:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,gudʒəɾi,wife,,gudʒəɾi,source lexical-similarity group 4; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list CHA]",,,sileasterngujari2023:p060:i114:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list RAM]",,,sileasterngujari2023:p060:i114:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,gudʒəɾi,wife,,gudʒəɾi,source lexical-similarity group 4; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list RAM]",,,sileasterngujari2023:p060:i114:RAM:a2,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list NAL]",,,sileasterngujari2023:p060:i114:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,gudʒəɾi,wife,,gudʒəɾi,source lexical-similarity group 4; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list NAL]",,,sileasterngujari2023:p060:i114:NAL:a2,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list DEH]",,,sileasterngujari2023:p060:i114:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list KOT]",,,sileasterngujari2023:p060:i114:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,dʒɛnɑni,wife,,dʒɛnɑni,source lexical-similarity group 3; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 60, printed p. 52, item 114, list HAL]",,,sileasterngujari2023:p060:i114:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
Goj,,ɭʌɽo,boy,,ɭʌɽo,source lexical-similarity group 1; source list Udhampur/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list UDH]",,,sileasterngujari2023:p061:i115:UDH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-udhampur:Udhampur
Goj,,muɳɖo,boy,,muɳɖo,source lexical-similarity group 2; source list Jammu/J&K,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list JAM]",,,sileasterngujari2023:p061:i115:JAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-jammu:Jammu
Goj,,dʒɑgɛt,boy,,dʒɑgɛt,source lexical-similarity group 3; source list Chamba/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list CHA]",,,sileasterngujari2023:p061:i115:CHA:a1,,,,dialect:Goj:sil-eastern-gujari-1996-chamba:Chamba
Goj,,dʒɑgɛt,boy,,dʒɑgɛt,source lexical-similarity group 3; source list Rampur/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list RAM]",,,sileasterngujari2023:p061:i115:RAM:a1,,,,dialect:Goj:sil-eastern-gujari-1996-rampur:Rampur
Goj,,muɳɖo,boy,,muɳɖo,source lexical-similarity group 2; source list Nalagarh/H.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list NAL]",,,sileasterngujari2023:p061:i115:NAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-nalagarh:Nalagarh
Goj,,muɳɖo,boy,,muɳɖo,source lexical-similarity group 2; source list Dehradun/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list DEH]",,,sileasterngujari2023:p061:i115:DEH:a1,,,,dialect:Goj:sil-eastern-gujari-1996-dehra-dun:Dehra%20Dun
Goj,,muɳɖo,boy,,muɳɖo,source lexical-similarity group 2; source list Kotdwara/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list KOT]",,,sileasterngujari2023:p061:i115:KOT:a1,,,,dialect:Goj:sil-eastern-gujari-1996-kotdwara:Kotdwara
Goj,,muɳɖo,boy,,muɳɖo,source lexical-similarity group 2; source list Haldwani/U.P.,"hugoniot-polster-ahmad-rajan2023easterngujari[Appendix B, PDF p. 61, printed p. 53, item 115, list HAL]",,,sileasterngujari2023:p061:i115:HAL:a1,,,,dialect:Goj:sil-eastern-gujari-1996-haldwani:Haldwani
