Kam,n1831,t′e-,"put, place; plant",,,,strand,,,,,,,verb tr dialect:Kamviri
ktivi,n1832,št′e-,be plucked; slide (land),,,[+],strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n1832,′u šta-,stand up (archaic),,,[+; - T. 1900.1 *ut-sthâti ‘stands up’; modern compound],strand,,,,,,,verb intr dialect:Kamviri
usut,n1833,ü-ti-,stand; place oneself,,,,buddruss,,,,,,,verb dialect:Prasun%3A%20Usut
sec,n1833,ušti-,rise,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
Kam,n1833,ušt′a-,be plucked; fall out [hair]; blow strongly [wind]; crack open [ground],,,[+],strand,,,,,,,verb intr dialect:Kamviri
nis,n1833,osta-,fly,,,,strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1834,-višti-,get loose; break open,,,[?],buddruss,,,,,,,verb intr dialect:Prasun%3A%20Usut
Kam,n1837,ut′ala,high,,,[+],strand,,,,,,,adj dialect:Kamviri
sanu,n1837,otal′a,upraised; high [?],,,[+],strand,,,,,,,adj dialect:Ashkun%3A%20Sanu
sanu,n1837,otal′a,upraised; high [?],,,[+],strand,,,,,,,adj dialect:Ashkun%3A%20Sanu
nis,n1837,ütüla,high,,,[+],strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1838,utal′e-,rise [water]; increase in quantity,,,[+; cf. T. 1804.1 *ut-tha-la- ‘high’; both < sthâ- ‘stand’?],strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n1838,ut′ala-,rise [water]; increase in quantity,,,[+; cf. T. 1804.1 *ut-tha-la- ‘high’; both < sthâ- ‘stand’?],strand,,,,,,,verb intr dialect:Kamviri
ktivi,n1840,t′â,place,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1840,t′o˜,place,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n1840,usṭ′aňi,headman at a stable,,,[+],strand,,,,,,,noun dialect:Kamviri
Kam,n1840,usṭ′aňi,man's name,,,[+],strand,,,,,,,noun dialect:Kamviri
ktivi,n1844,pṭ′i,back,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1844,pṭ′i,back,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1844,psṭ′i,back,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sanu,n1844,pṣip′âː˜,behind,,,[+],strand,,,,,,,spatial dialect:Ashkun%3A%20Sanu
ktivi,n1847,ti′e-,"assume a position or state; come to rest, stop [moving object], get stuck or stopped; be room for, fit",,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n1847,t′ia-,"assume a position or state; come to rest, stop [moving object], get stuck or stopped; be room for, fit",,,,strand,,,,,,,verb intr dialect:Kamviri
nis,n1847,ti-,"assume a position or state; come to rest, stop [moving object], get stuck or stopped; be room for, fit",,,,strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n1850,üte-,stand up; wait,,,,strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1853,tâ,at; in; to,,,[+],strand,,,,,,,spatial dialect:Katavari%3A%20Ktivi
ktivi,n1853,tâ,when [temporal location of imbedded (subordinate) retrospective change],,,[+],strand,,,,,,,spatial temporal dialect:Katavari%3A%20Ktivi
ktivi,n1853,tâ,when [temporal location of imbedded (subordinate) retrospective change],,,[+],strand,,,,,,,spatial temporal dialect:Katavari%3A%20Ktivi
Kam,n1853,to,when [temporal location of imbedded (subordinate) retrospective change],,,[+],strand,,,,,,,spatial temporal dialect:Kamviri
Kam,n1853,to,when [temporal location of imbedded (subordinate) retrospective change],,,[+],strand,,,,,,,spatial temporal dialect:Kamviri
Kam,n1853,to,at; in; to,,,[+],strand,,,,,,,spatial dialect:Kamviri
nis,n1853,ta,if; indefinitizer,,,[+],strand,,,,,,,spatial temporal dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1856,üsty′u˜,pillar,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1856,šti′u,pillar,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1856,št′ü˜,pillar,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1856,ist′u˜,pillar,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
gamb,n1856,št′u,pillar; post,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
zumu,n1861,ištnye,thief,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
sec,n1861,išnye,thief,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n1861,št′âňa,outlaw; bandit; thief,,,,strand,,,,,,,noun dialect:Kamviri
ktivi,n1866,saći′uŋ,buttermilk solids,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1866,sâč′uŋ,buttermilk solids,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1866,c̣oc̣′oːŋ,buttermilk solids,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sec,n1867,üčuŋg′u,dried buttermilk curds,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
nis,n1870,ištu˜,boast,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1873,išty′âk,topknot; scalplock,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n1876,št′ü,liquid squeezed out of přâl′ia,,,[+],strand,,,,,,,noun dialect:Kamviri
nis,n1876,aštö,whey residue from cheese,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n1880,štara-,"spread out (blanket, etc.)",,,[+],strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1883,-storo-,spread out,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
sec,n1883,′âsturu,spread out!,,,,morgenstierne,,,,,,,verb tr dialect:Prasun%3A%20Sec
sec,n1883,′ostori,having spread out,,,,morgenstierne,,,,,,,verb tr dialect:Prasun%3A%20Sec
ktivi,n1883,âštr′e-,spread; lay out or over; cover by spreading something over,,,[+],strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n1883,âštr′a-,spread; lay out or over; cover by spreading something over,,,[+],strand,,,,,,,verb tr dialect:Kamviri
nis,n1886,ištor,ceiling,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1887,vustarag′u,roofing,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sec,n1889,′âsturuk,bedding,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n1890,âštr′a vřâ˜,bedding,,,[+],strand,,,,,,,noun pl dialect:Kamviri
sanu,n1890,âvâňâst′oː˜,bedding,,,[+],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n1893,št′or,quiver; hopper (in a mill),,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1893,št′or,quiver; hopper (in a mill),,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1893,âst′âr,quiver; hopper (in a mill),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1893,ištär,quiver; hopper (in a mill),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n1895,istâr′â˜,roof cross-beam,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
zumu,n1897,′âsturun,bedding,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
usut,n1900,vištir,wide,,,,morgenstierne,,,,,,,adj dialect:Prasun%3A%20Usut
sec,n1900,ištar′e,wide,,,,morgenstierne,,,,,,,adj dialect:Prasun%3A%20Sec
ktivi,n1900,vašt′eř,wide,,,,strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,n1900,višt′ař,wide,,,,strand,,,,,,,adj dialect:Kamviri
Kam,n1900,višt′a_kâno,"small, spread-out juniper-like tree",,,[+],strand,,,,,,,noun f dialect:Kamviri
nis,n1900,vište,wide,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1904,t′ul,field (cultivated),,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1904,pt′ul,field (cultivated),,,,strand,,,,,,,noun dialect:Kamviri
nis,n1904,tol,field (cultivated),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1907,t′ol,metal cooking pot,,,[+],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1907,t′ol,metal cooking pot,,,[+],strand,,,,,,,noun f dialect:Kamviri
sanu,n1907,t′âːl,metal cooking pot,,,[+],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
ktivi,n1909,štař′e-,moan,,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n1909,št′âňa˜,moan,,,,strand,,,,,,,noun dialect:Kamviri
sec,n1913,üštyob′u,tree,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n1913,št′um,tree,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1913,št′um,tree (obsolete),,,,strand,,,,,,,noun f dialect:Kamviri
nis,n1915,üstüm,pillar,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1920,št′o,star,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
ktivi,n1920,ř′uč što,bright star,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1920,řâšt′o,star,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1920,ist′â˜,star,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n1924,-t′âr,goat or cow with star on its forehead,,,,strand,,,,,,,noun dialect:Kamviri
nis,n1924,târa,star,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
gamb,n1924,târa,star,,,[+],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
sec,n1926,ist′ik,star,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
usut,n1927,vast′i:,woman; wife,,,,buddruss,,,,,,,noun f dialect:Prasun%3A%20Usut
usut,n1927,vast′e,wife,,,,strand,,,,,,,noun f dialect:Prasun%3A%20Usut
sec,n1927,vest′i,wife,,,,morgenstierne,,,,,,,noun f dialect:Prasun%3A%20Sec
supu,n1927,vast′i,wife,,,,strand,,,,,,,noun f dialect:Prasun%3A%20Supu
ktivi,n1927,štr′i,wife; woman,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1927,štr′i,female,,,,strand,,,,,,,adj dialect:Kamviri
Kam,n1927,štr′i,wife; woman,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n1927,istr′iː,wife,,,,strand,,,,,,,noun f dialect:Ashkun%3A%20Sanu
vagal,n1927,ištra,wife,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Vagal
ames,n1927,ištri,wife,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Amesdes
nis,n1927,ištrigi-šti,wife; woman,,,,strand,,,,,,,noun f dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n1927,ištrigi-šti,female,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,13735,tr′imitria˜ ić,mother bear (with cubs),,,[+; = T. 13735a],strand,,,,,,,noun f dialect:Kamviri
ktivi,13744,sṭ′âla,straight; true; honest,,,,strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,13744,sṭ′âla,straight; true; honest,,,,strand,,,,,,,adj dialect:Kamviri
Kam,n1932,p′ol,plow point,,,,strand,,,,,,,noun dialect:Kamviri
usut,n1935,-špur-,show; teach,,,[= T. 13843a.1],buddruss,,,,,,,verb tr dialect:Prasun%3A%20Usut
sec,n1935,-špura-,show,,,[= T. 13843a.1],morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
nis,n1937,puṭe,broken,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1942,pař′a,foam,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1942,př′e˜,foam,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1942,přiaň′a,foam,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n1942,pňei,foam,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1946,pštiga,spleen,,,[?],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n1948,př′u,spleen,,,[+],strand,,,,,,,noun f dialect:Kamviri
gamb,n1950,paǰeṛ′ä˜,spleen,,,[?],morgenstierne,,,,,,,noun dialect:Tregami%3A%20Gambir
nis,n1952,ṣpe˜k,spleen,,,[via *spri:ɦan-?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1956,müšy′u,beard,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Usut
zumu,n1956,muṣ′ü,beard,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
sec,n1956,m′uši,beard,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
sanu,n1957,ź′âk,wound,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n1958,ź′âŋ,rust,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n1958,z′âŋ,rust,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n1959,J̣anṣ′ar,chain,,,,strand,,,,,,,noun f dialect:Kamviri
Kam,n1960,źi′on,loss; setback,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n1961,ź′in,saddle,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n1962,źâir′et,grave marker,,,,strand,,,,,,,noun dialect:Kamviri
ktivi,n1963,z′ur,difficulty; trouble,,,"[cf. Av. zâvar- ‘strength’, Prs. zur ‘strength; violence’]",strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1963,ź′ur,difficulty; trouble,,,"[cf. Av. zâvar- ‘strength’, Prs. zur ‘strength; violence’]",strand,,,,,,,noun dialect:Kamviri
sanu,n1963,z′oːr,difficulty; trouble,,,"[cf. Av. zâvar- ‘strength’, Prs. zur ‘strength; violence’]",strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
usut,n1965,-lig,near [2nd degree of distance],,,,buddruss,,,,,,,spatial dialect:Prasun%3A%20Usut
usut,n1965,-l,away [3rd degree of distance],,,,buddruss,,,,,,,spatial dialect:Prasun%3A%20Usut
sanu,n1966,-le,,,,,strand,,,,,,,spatial dialect:Ashkun%3A%20Sanu
sanu,n1966,-ile,,,,,strand,,,,,,,spatial dialect:Ashkun%3A%20Sanu
ktivi,n1967,-la-,,,,,strand,,,,,,,suffix part dialect:Katavari%3A%20Ktivi
Kam,n1967,-la-,,,,,strand,,,,,,,suffix part dialect:Kamviri
sanu,n1967,-la-,,,,,strand,,,,,,,suffix part dialect:Ashkun%3A%20Sanu
nis,n1967,-la-,,,,,strand,,,,,,,suffix part dialect:Nuristani%20Kalasha%3A%20Nisheigram
usut,n1968,âlak,this; he; she; it; [proximal],,,,buddruss,,,,,,,pron dialect:Prasun%3A%20Usut
sec,n1968,âlek,this; he; she; it; [proximal],,,,morgenstierne,,,,,,,pron dialect:Prasun%3A%20Sec
sec,n1968,malak,these; they; [proximal],,,,morgenstierne,,,,,,,pron pl dialect:Prasun%3A%20Sec
supu,n1969,l′uk,biological (kinsman),,,,strand,,,,,,,adj dialect:Prasun%3A%20Supu
Kam,n1969,lâ·k′a-,prefix designating closest kind of relative,,,,strand,,,,,,,noun dialect:Kamviri
Kam,n1973,l′oc̣,red (obsolete),,,[+],strand,,,,,,,adj dialect:Kamviri
gamb,n1976,J̣at′å,red,,,,morgenstierne,,,,,,,adj dialect:Tregami%3A%20Gambir
sec,n1980,â-l′eg-,hit,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
sec,n1980,â-lag-,be hit; hit,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
usut,n1980,-loǧ-,be fastened,,,,buddruss,,,,,,,verb intr dialect:Prasun%3A%20Usut
sec,n1980,-lag-,be hit,,,,morgenstierne,,,,,,,verb intr dialect:Prasun%3A%20Sec
Kam,n1983,âl′aŋo,heavy,,,[+; gn > ŋ?],strand,,,,,,,adj dialect:Kamviri
Kam,n1983,âl′aŋ âša-,lean (on),,,[+; gn > ŋ?],strand,,,,,,,verb tr dialect:Kamviri
Kam,n1984,lâǰor′i,tribal levy,,,,strand,,,,,,,noun dialect:Kamviri
nis,10909.1,lâ˜ǰu˜,shame,,,,strand,,,,,,,verb dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,10910,lanǰ,shame,,,[whence n?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,10917.1,lâṛ pru˜,lie,,,[+],strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,10917.1,l′uṭ bu-,have a relapse,,,[+],strand,,,,,,,verb intr dialect:Kamviri
Kam,10917.1,lâṭp′aṭa bu-,miscarry; bear a dead child; be in a mess [work],,,[+],strand,,,,,,,verb intr dialect:Kamviri
zumu,n1985,lu,root,,,[+],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Zumu
ktivi,n1985,l′u,root,,,[+],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1985,l′u,root,,,[+],strand,,,,,,,noun f dialect:Kamviri
nis,n1985,lo,grapevine; network of kinsmen,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1986,âlš′a,burr,,,[+; or T. 11067 liš-a-ti ‘tears off’?],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n1986,âlš′a,burr,,,[+; or T. 11067 liš-a-ti ‘tears off’?],strand,,,,,,,noun f dialect:Kamviri
sanu,n1986,âlâs′âːk,burr,,,[+; or T. 11067 liš-a-ti ‘tears off’?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n1987,lâl′oa,thighbone,,,,strand,,,,,,,noun dialect:Kamviri
nis,n1987,lalâv,foreshank,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,10972.1,l′âlu,song; music,,,,strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,10972.1,l′âalu,song; music,,,,strand,,,,,,,noun f dialect:Kamviri
nis,n1988,lân,penis,,,[+; proto-form *lânda-?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1989,lâṇ′a,"having lâṇ′a břâza (mange); hence, bald",,,,strand,,,,,,,adj dialect:Katavari%3A%20Ktivi
Kam,n1989,lâṇ′a,"having lâṇ′a břâźa (mange); hence, bald",,,,strand,,,,,,,adj dialect:Kamviri
sanu,n1989,lu˜ḍ′a,mangy,,,,strand,,,,,,,adj dialect:Ashkun%3A%20Sanu
nis,n1989,leṇa,mangy; bald,,,,strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n1990,lâř′i,penis,,,[+; proto-form *lâṇa-?],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1990,lâň′i,penis,,,[+; proto-form *lâṇa-?],strand,,,,,,,noun dialect:Kamviri
Kam,n1991,lâṇḍâi+s′in,Landay Sin River,,,,strand,,,,,,,spatial dialect:Kamviri
Kam,n1992,lâ·p′a-,shake up and down; flap,,,[+],strand,,,,,,,verb intr dialect:Kamviri
sanu,n1992,lap-ie-,shake up and down; flap,,,[+],strand,,,,,,,verb dialect:Ashkun%3A%20Sanu
nis,n1992,lapa-,shake,,,[+],strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n1996,-ẓo-,find; get; obtain,,,,morgenstierne,,,,,,,verb dialect:Prasun%3A%20Sec
ktivi,n1998,l′ov,pre-Islamic ritual offering of dairy products,,,[+],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n1998,l′oa,pre-Islamic ritual offering of dairy products,,,[+],strand,,,,,,,noun dialect:Kamviri
sec,n2001,lâd,peace,,,"[?; cf. Rus. lad ‘agreement’, lada ‘spouse’; Toch.B laare ‘dear’; Lyc. lada ‘wife’; Winter 1965:191]",morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n2001,l′od,peace; settlement,,,"[?; cf. Rus. lad ‘agreement’, lada ‘spouse’; Toch.B laare ‘dear’; Lyc. lada ‘wife’; Winter 1965:191]",strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n2001,l′ot,peace; settlement,,,"[?; cf. Rus. lad ‘agreement’, lada ‘spouse’; Toch.B laare ‘dear’; Lyc. lada ‘wife’; Winter 1965:191]",strand,,,,,,,noun dialect:Kamviri
sanu,n2001,l′âːt,peace; settlement,,,"[?; cf. Rus. lad ‘agreement’, lada ‘spouse’; Toch.B laare ‘dear’; Lyc. lada ‘wife’; Winter 1965:191]",strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n2001,lâd,right,,,"[?; cf. Rus. lad ‘agreement’, lada ‘spouse’; Toch.B laare ‘dear’; Lyc. lada ‘wife’; Winter 1965:191]",strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n2004,letr′i,possessions,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n2004,latr′i,"thing; property, wealth",,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n2004,lâtr′i,"thing; property, wealth",,,,strand,,,,,,,noun dialect:Kamviri
sec,n2005,luṇḍ′u,indentured servant,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
ktivi,n2006,lâv′aṇ,debt slave,,,,strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,n2006,l′oaṇa,debt slave,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n2006,lav′aṇ,debt slave,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n2006,loṇa,debt slave,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n2007,l′âanša,small lizard [about 10 cm. long],,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n2007,lâu˜ź′a,small lizard [about 10 cm. long],,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
sanu,n2008,l′âṭ,trap,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n2008,lâṭ,trap,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n2009,lâs′e-,"escape, get away",,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n2009,lâs′a-,"escape, get away",,,,strand,,,,,,,verb intr dialect:Kamviri
sanu,n2009,loːs-ie-,"escape, get away",,,[+; - T. 10994 *l′asati ‘slips’ because of â],strand,,,,,,,verb dialect:Ashkun%3A%20Sanu
nis,n2009,lâsa-,elude,,,[+; - T. 10994 *l′asati ‘slips’ because of â],strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n2009,lâsavu˜,leave [something] alone,,,,strand,,,,,,,verb tr dialect:Nuristani%20Kalasha%3A%20Nisheigram
sanu,n2010,l′iːr,drool,,,[?],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n2010,ler,drool,,,[?],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n2011,laṣṭ′e-,chase; attack,,,,strand,,,,,,,verb intr dialect:Katavari%3A%20Ktivi
Kam,n2011,lisṭ′a-,chase; attack,,,,strand,,,,,,,verb intr dialect:Kamviri
sanu,n2011,lasṭ-′ie-,chase; attack,,,,strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
Kam,11044.2,liŋ′a-,= ^lika-,,,[+],strand,,,,,,,verb intr dialect:Kamviri
Kam,11054.3,liṇ′ok,naked,,,[+],strand,,,,,,,adj dialect:Kamviri
Kam,n2012,l′ea,good (immediately before nouns only),,,,strand,,,,,,,adj dialect:Kamviri
zumu,n2012,lesta,big [?],,,,morgenstierne,,,,,,,adj dialect:Prasun%3A%20Zumu
Kam,n2012,l′esta,good,,,,strand,,,,,,,adj dialect:Kamviri
sec,n2017,vežeg′e,egg,,,[+; - T. 1111 â˜ḍ′a- ‘egg’; cf. OIA *ri- < r̥ ‘move away’ in ri-: ‘flow; melt’; ri-k *’move out; leave; empty’; ri- gh ‘move’; ri-kh and ri-˜-kh ‘move; crawl’],morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
Kam,n2017,âṣ′o,egg (of bird),,,[+; - T. 1111 â˜ḍ′a- ‘egg’; cf. OIA *ri- < r̥ ‘move away’ in ri-: ‘flow; melt’; ri-k *’move out; leave; empty’; ri-gh ‘move’; ri-kh and ri-˜-kh ‘move; crawl’],strand,,,,,,,noun f dialect:Kamviri
sanu,n2020,ž′âu,egg (of bird),,,[+; - T. 1111 â˜ḍ′a- ‘egg’; cf. OIA *ri- < r̥ ‘move away’ in ri-: ‘flow; melt’; ri-k *’move out; leave; empty’; ri-gh ‘move’; ri-kh and ri-˜-kh ‘move; crawl’],strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n2020,vṛâv,egg (of bird),,,[+; - T. 1111 â˜ḍ′a- ‘egg’; cf. OIA *ri- < r̥ ‘move away’ in ri-: ‘flow; melt’; ri-k *’move out; leave; empty’; ri-gh ‘move’; ri-kh and ri-˜-kh ‘move; crawl’],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n2022,přâl′ia-,be stretched,,,[cf. Pok. 664 lē̆i- ‘pour’],strand,,,,,,,verb intr dialect:Kamviri
Kam,n2022,přâl′ia,“pre-cheese” formed by squeezing together gřut′uk,,,[cf. Pok. 664 lē̆i- ‘pour’],strand,,,,,,,noun f dialect:Kamviri
Kam,n2024,vil′ia-,melt,,,[cf. Pok. 664 lē̆i- ‘pour’],strand,,,,,,,verb intr dialect:Kamviri
nis,n2024,vila-,melt,,,[cf. Pok. 664 lē̆i- ‘pour’],strand,,,,,,,verb intr dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n2025,n′i vřia-,swallow,,,"[+; cf. Pok. 664 lē̆i- ‘pour’; vil′ia- ‘melt’ implies that both forms of the Aryan doublet were maintained through differentiation of meaning: *li: ‘melt’, *ri: ‘flow’]",strand,,,,,,,verb tr dialect:Kamviri
ktivi,n2029,laz′e-,lick,,,[or T. 11069.2 *lehati],strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n2029,liź′a-,lick,,,[or T. 11069.2 *lehati],strand,,,,,,,verb tr dialect:Kamviri
sanu,n2029,leiź-i′e-,lick,,,,strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
ktivi,n2033,lap′e-,plaster,,,[+],strand,,,,,,,verb tr dialect:Katavari%3A%20Ktivi
Kam,n2033,li·p′a-,plaster,,,[+],strand,,,,,,,verb tr dialect:Kamviri
sanu,n2033,lip-′ie-,plaster,,,[+],strand,,,,,,,verb tr dialect:Ashkun%3A%20Sanu
sec,n2037,l′eṭaga,sickle,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
