Kalk,9661,dra,brother,,drɑ,cited for the dental assimilation of the bilabial-plus-/r/ cluster,"kalkoti[p. 131, table 1];kalkoti[p. 147, table 16];kalkoti[p. 136, n. 6]",,,kalkoti:t1:1,,,,noun sg m dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,čubuṭ,full,,ʨʊbʊʈ,voicing alternation in the medial plosive,kalkoti[p. 135],,,kalkoti:prose:full:a2,kalkoti:prose:full,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2854,kruṭil,to cut,,krʊʈil,voicing alternation in the medial plosive; Vowel and *-r-* are unexplained; wrong etymon?,kalkoti[p. 135],,,kalkoti:prose:cut,,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,kruḍil,to cut,,krʊɖil,voicing alternation in the medial plosive,kalkoti[p. 135],,,kalkoti:prose:cut:a2,kalkoti:prose:cut,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,11072,lukuṭ,small,,lʊkuʈ,voicing alternation in the medial plosive,kalkoti[p. 135],,,kalkoti:prose:small,,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,luɡuṭ,small,,lʊɡuʈ,voicing alternation in the medial plosive,kalkoti[p. 135],,,kalkoti:prose:small:a2,kalkoti:prose:small,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6835,duṛ,dust,,duɽ,word-final /r/~/ɽ/ alternation,kalkoti[p. 135],,,kalkoti:prose:dust:a2,kalkoti:t11:2:u,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13952,aḍ,bone,,ɑɖ,word-final /ɖ/~/ɽ/ alternation,kalkoti[p. 135],,,kalkoti:prose:bone,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,aṛ,bone,,ɑɽ,word-final /ɖ/~/ɽ/ alternation,kalkoti[p. 135],,,kalkoti:prose:bone:a2,kalkoti:prose:bone,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,treer,"woman, wife",,treːr,cited for the stable word-initial /tr/ cluster,kalkoti[p. 136],,,kalkoti:prose:wife,,,,noun f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,10930,laatr,bad,,lɑːtɾ̥,word-final /tr/ cluster alternating with loss of the [r] segment,kalkoti[p. 136],,,kalkoti:prose:bad,,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,laat,bad,,lɑːt,word-final /tr/ cluster alternating with loss of the [r] segment,kalkoti[p. 136],,,kalkoti:prose:bad:a2,kalkoti:prose:bad,,,adj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,paan,path,,pɑːn,nasal-plosive cluster alternating with a plain nasal,kalkoti[p. 136],,,kalkoti:prose:path:a2,kalkoti:t12:1:2,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4353,ɡäṇḍil,to tie,,ɡɛɳɖil,nasal-plosive cluster alternating with a plain nasal,kalkoti[p. 136],,,kalkoti:prose:tie,,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ɡäṇil,to tie,,ɡɛɳil,nasal-plosive cluster alternating with a plain nasal,kalkoti[p. 136],,,kalkoti:prose:tie:a2,kalkoti:prose:tie,,,verb dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,naaŋ,snake,,nɑːŋ,nasal-plosive cluster alternating with a plain nasal,kalkoti[p. 136],,,kalkoti:prose:snake:a2,kalkoti:t11:2:aa,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,alaal,"lawful slaughter, halal",,ɑlɑ:l,"Liljegren derives it from Urdu حلال, with the source /h/ dropped","kalkoti[p. 136, n. 5]",,,kalkoti:prose:halal,,,,noun loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ääsil,gain,,æːsil,"Liljegren derives it from Urdu حاصل, with the source /h/ dropped","kalkoti[p. 136, n. 5]",,,kalkoti:prose:gain,,,,noun loanword dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,maṭee,to me,,,a separate first person singular dative form,kalkoti[p. 144],,,kalkoti:prose:dative,,,,pron personal 1sg dat dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,maṭ,to me,,,a separate first person singular dative form,kalkoti[p. 144],,,kalkoti:prose:dative:a2,kalkoti:prose:dative,,,pron personal 1sg dat dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,1008,äɡa,rain,,,the article prints this element only inside the expression it cites in table 3,"kalkoti[p. 133, table 3]",,,kalkoti:seg:aga,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,7200,niin,sleep,,,the article prints this element only inside the expression it cites in table 3,"kalkoti[p. 133, table 3]",,,kalkoti:seg:sleep,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,šiiš,flight,,,the article prints this element only inside the expression it cites in table 3,"kalkoti[p. 133, table 3]",,,kalkoti:seg:flight,,,,noun uncertain dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12487,šidäl,cold,,,the article prints this element only inside the expression it cites in table 3,"kalkoti[p. 133, table 3]",,,kalkoti:seg:cold,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5647,tee,and,,,the article prints this element only inside the expression it cites in table 6,"kalkoti[p. 134, table 6]",,,kalkoti:seg:and,,,,conj dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,11616,biš,twenty,,,the article prints this element only inside the expression it cites in table 6,"kalkoti[p. 134, table 6]",,,kalkoti:seg:twenty,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ḍä̀rin,earth,,,Liljegren analyses this word as carrying a low tone.,"kalkoti[p. 144, n. 15]",,,kalkoti:fn15:2,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ic̣ì,eye,,,Liljegren analyses this word as carrying a low tone.,"kalkoti[p. 144, n. 15]",,,kalkoti:fn15:3,,,,noun f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6638,lumaáṭ,tail,,,Liljegren analyses this word as carrying a high tone.,"kalkoti[p. 144, n. 15]",,,kalkoti:fn15:4,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,bä̀kaál,to kill,,,Liljegren analyses this word as carrying a low-high tone.,"kalkoti[p. 144, n. 15]",,,kalkoti:fn15:5,,,,verb tr dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Phal,e34,cōṇṭō̂,"to write, embroider",,,,liljegren
Phal,3438,krīmī̂,worm,,,,kalkoti
Phal,e35,tapō̌s,question,,,,liljegren
Phal,e36,típa,now,,,,liljegren
